ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
816,Gino Vivi,cr CRC,MFDF,LA Galaxy,22,2000,3,1,81,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
817,Robert Voloder,ba BIH,DF,Sporting KC,21,2001,14,11,1030,11.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,18,33,11,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
818,Giacomo Vrioni,al ALB,FW,NE Revolution,24,1998,29,13,1312,14.6,6,1,7,6,0,0,0,0,5.1,5.1,0.4,5.5,16,16,51,0.41,0.07,0.48,0.41,0.48,0.35,0.03,0.38,0.35,0.38,Matches
819,Kai Wagner,de GER,DF,Philadelphia Union,25,1997,28,28,2441,27.1,1,7,8,1,0,0,6,0,0.4,0.4,7.1,7.5,43,103,96,0.04,0.26,0.29,0.04,0.29,0.02,0.26,0.28,0.02,0.28,Matches
820,Rémi Walter,fr FRA,MF,Sporting KC,27,1995,33,29,2737,30.4,2,2,4,2,0,0,2,0,1.8,1.8,0.8,2.7,32,158,50,0.07,0.07,0.13,0.07,0.13,0.06,0.03,0.09,0.06,0.09,Matches
821,Victor Wanyama,ke KEN,MF,CF Montréal,31,1991,25,20,1789,19.9,0,0,0,0,0,0,6,0,0.8,0.8,0.3,1.1,11,89,16,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches
822,Taylor Washington,us USA,DFMF,Nashville SC,29,1993,22,3,483,5.4,1,0,1,1,0,0,7,1,0.4,0.4,0.0,0.4,11,18,18,0.19,0.00,0.19,0.19,0.19,0.07,0.00,0.07,0.07,0.07,Matches
823,Joel Waterman,ca CAN,DF,CF Montréal,27,1996,28,27,2373,26.4,1,1,2,1,0,0,8,1,1.0,1.0,0.9,1.9,18,130,13,0.04,0.04,0.08,0.04,0.08,0.04,0.03,0.07,0.04,0.07,Matches
824,Akil Watts,us USA,DFMF,St. Louis,22,2000,18,11,880,9.8,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.8,17,32,27,0.00,0.10,0.10,0.00,0.10,0.01,0.07,0.08,0.01,0.08,Matches
825,Quentin Westberg,us USA,GK,Atlanta Utd,36,1986,6,6,495,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
