ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
1,Luis Abram,pe PER,DF,Atlanta Utd,26,1996,22,16,1456,16.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,29,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,1994,26,23,1920,21.3,2,0,2,2,0,0,9,1,0.8,0.8,0.2,1.0,5,50,3,0.09,0.00,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,Matches
3,Alonso Aceves,mx MEX,DF,Chicago Fire,21,2001,20,9,853,9.5,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,21,24,34,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.04,0.07,Matches
4,Bryan Acosta,hn HON,MF,Colorado Rapids,29,1993,14,13,1117,12.4,0,0,0,0,0,0,6,0,0.9,0.9,2.7,3.6,11,53,24,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29,Matches
5,Bryan Acosta,hn HON,MF,Portland Timbers,29,1993,7,5,458,5.1,0,1,1,0,0,0,1,0,0.0,0.0,0.9,0.9,0,19,3,0.00,0.20,0.20,0.00,0.20,0.00,0.17,0.18,0.00,0.18,Matches
6,Kellyn Acosta,us USA,MF,LAFC,27,1995,24,18,1498,16.6,0,0,0,0,0,0,5,0,0.6,0.6,1.1,1.7,9,58,24,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.10,0.04,0.10,Matches
7,Luciano Acosta,ar ARG,MF,FC Cincinnati,28,1994,32,29,2605,28.9,17,10,27,10,7,8,7,0,12.9,6.6,10.2,16.8,116,218,226,0.59,0.35,0.93,0.35,0.69,0.44,0.35,0.80,0.23,0.58,Matches
8,Sam Adekugbe,ca CAN,FWDF,Vancouver W'caps,28,1995,10,4,409,4.5,0,1,1,0,0,0,2,0,0.2,0.2,0.8,0.9,7,17,35,0.00,0.22,0.22,0.00,0.22,0.03,0.18,0.21,0.03,0.21,Matches
9,Samuel Adeniran,us USA,FW,St. Louis,24,1998,18,11,949,10.5,8,1,9,7,1,1,3,1,3.9,3.1,1.3,4.4,32,12,46,0.76,0.09,0.85,0.66,0.76,0.37,0.12,0.49,0.29,0.42,Matches
10,Harrison Afful,gh GHA,DF,Charlotte,36,1986,15,11,951,10.6,0,1,1,0,0,0,3,0,0.2,0.2,0.7,0.8,14,50,11,0.00,0.09,0.09,0.00,0.09,0.02,0.06,0.08,0.02,0.08,Matches
11,Stephen Afrifa,ca CAN,FW,Sporting KC,21,2001,3,1,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,William Agada,ng NGA,FW,Sporting KC,23,1999,14,7,688,7.6,3,0,3,3,0,0,1,0,3.0,2.9,0.6,3.6,10,11,48,0.39,0.00,0.39,0.39,0.39,0.40,0.08,0.48,0.39,0.47,Matches
13,Giovanni Aguilar,us USA,MF,Vancouver W'caps,24,1998,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Daniel Aguirre,us USA,MFFW,LA Galaxy,23,1999,25,3,573,6.4,1,1,2,1,0,0,3,0,1.7,1.7,0.5,2.2,21,32,50,0.16,0.16,0.31,0.16,0.31,0.27,0.08,0.35,0.27,0.35,Matches
15,Patrick Agyemang,us USA,FW,Charlotte,22,2000,12,1,191,2.1,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.5,4,2,23,0.47,0.00,0.47,0.47,0.47,0.21,0.03,0.24,0.21,0.24,Matches
16,Ali Ahmed,ca CAN,MFDF,Vancouver W'caps,22,2000,22,12,1126,12.5,2,1,3,2,0,0,2,0,2.7,2.7,1.2,3.9,53,71,105,0.16,0.08,0.24,0.16,0.24,0.22,0.09,0.31,0.22,0.31,Matches
17,Carlos Akapo,gq EQG,DF,SJ Earthquakes,29,1993,28,25,2146,23.8,2,3,5,2,0,0,3,0,1.3,1.3,1.7,2.9,71,99,123,0.08,0.13,0.21,0.08,0.21,0.05,0.07,0.12,0.05,0.12,Matches
18,Matai Akinmboni,us USA,DF,D.C. United,16,2006,3,2,182,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
19,Ayo Akinola,ca CAN,FW,Toronto FC,23,2000,14,4,558,6.2,0,0,0,0,0,0,0,0,1.0,1.0,0.3,1.3,6,8,40,0.00,0.00,0.00,0.00,0.00,0.17,0.05,0.21,0.17,0.21,Matches
20,Ayo Akinola,ca CAN,FWMF,SJ Earthquakes,23,2000,7,0,55,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
21,Joey Akpunonu,us USA,DF,FC Cincinnati,21,2001,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,33,1989,7,5,439,4.9,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,13,32,49,0.21,0.00,0.21,0.21,0.21,0.12,0.21,0.33,0.12,0.33,Matches
23,Tony Alfaro,us USA,DF,NYCFC,29,1993,6,4,376,4.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,6,23,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches
24,Tony Alfaro,us USA,DF,LA Galaxy,29,1993,6,4,382,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
25,Noah Allen,us USA,DF,Inter Miami,18,2004,19,14,1254,13.9,1,2,3,1,0,0,3,0,0.8,0.8,0.6,1.3,31,47,67,0.07,0.14,0.22,0.07,0.22,0.05,0.04,0.09,0.05,0.09,Matches
Rk
26,Rasmus Alm,se SWE,MFFW,St. Louis,27,1995,21,13,1096,12.2,3,2,5,3,0,0,4,0,1.7,1.7,3.2,4.9,20,25,81,0.25,0.16,0.41,0.25,0.41,0.14,0.26,0.41,0.14,0.41,Matches
27,Thiago Almada,ar ARG,MF,Atlanta Utd,21,2001,31,31,2728,30.3,11,16,27,9,2,3,6,1,9.5,7.2,13.2,20.3,131,291,170,0.36,0.53,0.89,0.30,0.82,0.31,0.43,0.75,0.24,0.67,Matches
28,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,1985,7,0,97,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,9,1,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
29,Jozy Altidore,us USA,FW,NE Revolution,33,1989,10,1,203,2.3,1,0,1,1,0,0,1,0,1.2,1.2,0.0,1.2,0,2,13,0.44,0.00,0.44,0.44,0.44,0.53,0.00,0.53,0.53,0.53,Matches
30,Efrain Alvarez,mx MEX,MFFW,LA Galaxy,20,2002,10,5,376,4.2,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,7,20,39,0.00,0.00,0.00,0.00,0.00,0.09,0.15,0.24,0.09,0.24,Matches
31,Fernando Álvarez,co COL,DF,CF Montréal,19,2003,4,2,254,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,16,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
32,Luis Amarilla,py PAR,FW,Minnesota Utd,27,1995,13,8,742,8.2,2,0,2,0,2,2,2,0,3.2,1.7,1.0,2.7,12,24,66,0.24,0.00,0.24,0.00,0.00,0.39,0.12,0.51,0.20,0.32,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,22,2000,25,22,1918,21.3,5,0,5,5,0,0,4,0,2.0,2.0,1.7,3.7,21,125,25,0.23,0.00,0.23,0.23,0.23,0.09,0.08,0.17,0.09,0.17,Matches
34,Malte Amundsen,dk DEN,DF,Columbus Crew,24,1998,22,21,1891,21.0,3,1,4,3,0,0,7,0,1.2,1.2,1.4,2.6,20,97,44,0.14,0.05,0.19,0.14,0.19,0.06,0.07,0.12,0.06,0.12,Matches
35,Sebastian Anderson,us USA,DF,Colorado Rapids,20,2002,4,3,272,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
36,José Andrés Martínez,ve VEN,MF,Philadelphia Union,28,1994,24,21,1823,20.3,3,1,4,3,0,0,11,0,0.8,0.8,0.7,1.5,19,111,17,0.15,0.05,0.20,0.15,0.20,0.04,0.04,0.07,0.04,0.07,Matches
37,Iván Angulo,co COL,FWDF,Orlando City,23,1999,34,29,2482,27.6,5,6,11,5,0,0,5,0,4.9,4.9,3.2,8.1,75,98,253,0.18,0.22,0.40,0.18,0.40,0.18,0.12,0.30,0.18,0.30,Matches
38,Marco Angulo,ec ECU,MF,FC Cincinnati,20,2002,24,9,785,8.7,0,1,1,0,0,0,2,0,0.5,0.5,0.4,1.0,3,23,22,0.00,0.11,0.11,0.00,0.11,0.06,0.05,0.11,0.06,0.11,Matches
39,Eugene Ansah,gh GHA,FW,FC Dallas,28,1994,8,0,180,2.0,1,0,1,1,0,0,0,0,1.2,1.2,0.0,1.2,3,0,15,0.50,0.00,0.50,0.50,0.50,0.60,0.00,0.60,0.60,0.60,Matches
40,Themi Antonoglou,ca CAN,DFMF,Toronto FC,21,2001,11,3,480,5.3,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,6,12,25,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
41,Antony,br BRA,FWMF,Portland Timbers,21,2001,9,3,254,2.8,1,0,1,1,0,0,1,0,0.4,0.4,0.9,1.3,9,7,43,0.35,0.00,0.35,0.35,0.35,0.14,0.30,0.44,0.14,0.44,Matches
42,Brian Anunga,cm CMR,MF,Nashville SC,26,1996,16,5,566,6.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,2,20,7,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches
43,Cristian Arango,co COL,FW,Real Salt Lake,27,1995,11,9,758,8.4,6,1,7,6,0,0,2,0,3.0,3.0,1.9,4.8,9,23,56,0.71,0.12,0.83,0.71,0.83,0.35,0.22,0.58,0.35,0.58,Matches
44,César Araujo,uy URU,MF,Orlando City,21,2001,33,31,2730,30.3,1,3,4,1,0,0,8,0,1.4,1.4,1.9,3.3,21,155,38,0.03,0.10,0.13,0.03,0.13,0.05,0.06,0.11,0.05,0.11,Matches
45,Luiz Araújo,br BRA,FW,Atlanta Utd,26,1996,16,15,1269,14.1,3,1,4,3,0,1,3,1,3.1,2.3,1.4,3.7,63,68,120,0.21,0.07,0.28,0.21,0.28,0.22,0.10,0.32,0.16,0.27,Matches
46,Miguel Araujo,pe PER,DF,Portland Timbers,28,1994,3,2,173,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,4,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
47,Scott Arfield,ca CAN,MFFW,Charlotte,34,1988,13,2,415,4.6,2,0,2,2,0,0,1,0,0.9,0.9,0.2,1.0,2,22,15,0.43,0.00,0.43,0.43,0.43,0.19,0.04,0.22,0.19,0.22,Matches
48,Maximilian Arfsten,us USA,DFMF,Columbus Crew,21,2001,12,3,275,3.1,2,2,4,2,0,0,1,0,1.0,1.0,1.3,2.2,15,9,32,0.65,0.65,1.31,0.65,1.31,0.32,0.41,0.73,0.32,0.73,Matches
49,Santiago Arias,co COL,DF,FC Cincinnati,31,1992,26,16,1652,18.4,2,1,3,2,0,0,3,0,3.0,3.0,1.7,4.7,38,70,113,0.11,0.05,0.16,0.11,0.16,0.16,0.09,0.25,0.16,0.25,Matches
50,Xavier Arreaga,ec ECU,DFMF,Seattle Sounders,28,1994,14,3,355,3.9,0,0,0,0,0,0,0,0,0.9,0.9,0.0,0.9,1,8,0,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24,Matches
Rk
51,Kervin Arriaga,hn HON,MF,Minnesota Utd,25,1998,20,11,1169,13.0,2,2,4,2,0,0,5,0,0.9,0.9,1.3,2.2,15,65,13,0.15,0.15,0.31,0.15,0.31,0.07,0.10,0.17,0.07,0.17,Matches
52,Paul Arriola,us USA,FWMF,FC Dallas,27,1995,22,20,1655,18.4,2,4,6,2,0,0,4,0,3.7,3.7,4.3,8.0,34,54,137,0.11,0.22,0.33,0.11,0.33,0.20,0.24,0.43,0.20,0.43,Matches
53,Dixon Arroyo,ec ECU,MF,Inter Miami,30,1992,24,21,1787,19.9,1,0,1,1,0,0,4,0,0.7,0.7,0.3,1.0,4,87,10,0.05,0.00,0.05,0.05,0.05,0.04,0.01,0.05,0.04,0.05,Matches
54,Artur,br BRA,MF,Houston Dynamo,26,1996,34,31,2727,30.3,2,0,2,2,0,0,6,0,1.0,1.0,1.0,2.0,8,124,23,0.07,0.00,0.07,0.07,0.07,0.03,0.03,0.07,0.03,0.07,Matches
55,Yamil Asad,ar ARG,MFFW,D.C. United,28,1994,21,5,523,5.8,0,0,0,0,0,0,3,0,0.6,0.6,0.4,0.9,13,29,49,0.00,0.00,0.00,0.00,0.00,0.10,0.06,0.16,0.10,0.16,Matches
56,Dairon Asprilla,co COL,FWMF,Portland Timbers,30,1992,26,16,1449,16.1,5,5,10,5,0,0,5,0,2.9,2.9,3.2,6.1,41,45,139,0.31,0.31,0.62,0.31,0.62,0.18,0.20,0.38,0.18,0.38,Matches
57,Joshua Atencio,us USA,MF,Seattle Sounders,21,2002,22,10,984,10.9,1,1,2,1,0,0,3,0,0.9,0.9,0.6,1.5,24,58,34,0.09,0.09,0.18,0.09,0.18,0.08,0.06,0.13,0.08,0.13,Matches
58,Julián Aude,ar ARG,DF,LA Galaxy,19,2003,22,14,1194,13.3,0,1,1,0,0,0,6,0,0.5,0.5,0.9,1.4,15,38,53,0.00,0.08,0.08,0.00,0.08,0.03,0.07,0.10,0.03,0.10,Matches
59,Tomás Avilés,ar ARG,DF,Inter Miami,18,2004,11,11,875,9.7,1,1,2,1,0,0,6,0,0.4,0.4,0.2,0.7,4,20,3,0.10,0.10,0.21,0.10,0.21,0.04,0.02,0.07,0.04,0.07,Matches
60,David Ayala,ar ARG,MF,Portland Timbers,20,2002,4,3,160,1.8,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,8,5,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
61,Edison Azcona,do DOM,MFDF,Inter Miami,19,2003,5,0,51,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,0,14,0.00,0.00,0.00,0.00,0.00,0.15,0.04,0.19,0.15,0.19,Matches
62,Dominique Badji,sn SEN,FW,FC Cincinnati,30,1992,23,10,916,10.2,5,3,8,5,0,0,0,0,3.9,3.9,2.8,6.7,20,13,66,0.49,0.29,0.79,0.49,0.79,0.38,0.27,0.66,0.38,0.66,Matches
63,Corey Baird,us USA,FW,Houston Dynamo,27,1996,34,28,2330,25.9,8,5,13,8,0,0,4,0,7.3,7.3,3.1,10.4,31,50,147,0.31,0.19,0.50,0.31,0.50,0.28,0.12,0.40,0.28,0.40,Matches
64,Esmir Bajraktarevic,ba BIH,FWMF,NE Revolution,17,2005,13,5,495,5.5,0,0,0,0,0,0,0,0,1.8,1.8,0.2,2.0,21,11,34,0.00,0.00,0.00,0.00,0.00,0.33,0.03,0.36,0.33,0.36,Matches
65,Cody Baker,us USA,DF,Seattle Sounders,19,2004,12,8,680,7.6,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.4,19,41,50,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
66,Reed Baker-Whiting,us USA,DFFW,Seattle Sounders,17,2005,19,6,642,7.1,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.8,25,29,53,0.00,0.14,0.14,0.00,0.14,0.02,0.09,0.11,0.02,0.11,Matches
67,Monsef Bakrar,dz ALG,FW,NYCFC,22,2001,10,10,754,8.4,3,0,3,3,0,1,0,0,5.8,5.2,0.3,5.5,10,11,44,0.36,0.00,0.36,0.36,0.36,0.69,0.04,0.73,0.62,0.66,Matches
68,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,22,2000,10,3,294,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,11,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Tai Baribo,il ISR,FWMF,Philadelphia Union,25,1998,5,1,153,1.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,1,7,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
70,Tom Barlow,us USA,FW,NY Red Bulls,27,1995,34,20,1841,20.5,3,2,5,3,0,0,4,0,6.9,6.9,1.8,8.7,19,36,102,0.15,0.10,0.24,0.15,0.24,0.34,0.09,0.42,0.34,0.42,Matches
71,Luis Barraza,us USA,GK,NYCFC,26,1996,24,24,2160,24.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
72,Álvaro Barreal,ar ARG,DF,FC Cincinnati,22,2000,34,32,2814,31.3,5,6,11,5,0,0,6,0,3.0,3.0,9.3,12.3,84,127,238,0.16,0.19,0.35,0.16,0.35,0.10,0.30,0.39,0.10,0.39,Matches
73,Michael Barrios,co COL,FWMF,Colorado Rapids,31,1991,20,7,839,9.3,2,2,4,2,0,0,3,0,2.7,2.7,1.3,4.0,22,19,82,0.21,0.21,0.43,0.21,0.43,0.29,0.14,0.43,0.29,0.43,Matches
74,Michael Barrios,co COL,FWMF,LA Galaxy,31,1991,6,0,114,1.3,1,0,1,1,0,0,0,0,0.6,0.6,0.3,0.8,5,4,15,0.79,0.00,0.79,0.79,0.79,0.44,0.20,0.65,0.44,0.65,Matches
75,Lucas Bartlett,us USA,DF,St. Louis,25,1997,14,12,1067,11.9,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.2,5,36,3,0.00,0.08,0.08,0.00,0.08,0.06,0.04,0.10,0.06,0.10,Matches
Rk
76,Ethan Bartlow,us USA,DF,Houston Dynamo,22,2000,27,21,1992,22.1,0,1,1,0,0,0,4,0,0.9,0.9,1.4,2.2,12,39,7,0.00,0.05,0.05,0.00,0.05,0.04,0.06,0.10,0.04,0.10,Matches
77,Cole Bassett,us USA,MFFW,Colorado Rapids,21,2001,25,22,1898,21.1,6,1,7,6,0,0,5,0,3.9,3.9,2.3,6.2,44,94,73,0.28,0.05,0.33,0.28,0.33,0.19,0.11,0.29,0.19,0.29,Matches
78,Amine Bassi,fr FRA,MFFW,Houston Dynamo,25,1997,28,25,2000,22.2,10,1,11,4,6,6,1,1,9.1,4.4,4.8,9.2,40,150,96,0.45,0.05,0.50,0.18,0.23,0.41,0.21,0.63,0.20,0.41,Matches
79,Jesús Batiz,hn HON,MFFW,Toronto FC,23,1999,2,0,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,2,8,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
80,Josh Bauer,us USA,DF,Nashville SC,24,1998,10,4,518,5.8,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1,11,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
81,Tanner Beason,us USA,DF,SJ Earthquakes,25,1997,23,15,1406,15.6,0,1,1,0,0,0,1,1,0.8,0.8,0.1,0.9,1,19,0,0.00,0.06,0.06,0.00,0.06,0.05,0.01,0.06,0.05,0.06,Matches
82,Gavin Beavers,us USA,GK,Real Salt Lake,17,2005,7,6,585,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,Simon Becher,us USA,FWMF,Vancouver W'caps,23,1999,19,5,613,6.8,4,1,5,4,0,0,0,0,2.4,2.4,1.2,3.6,6,12,48,0.59,0.15,0.73,0.59,0.73,0.35,0.18,0.53,0.35,0.53,Matches
84,Alejandro Bedoya,us USA,MF,Philadelphia Union,35,1987,28,25,2007,22.3,0,4,4,0,0,0,6,0,2.2,2.2,3.2,5.4,44,112,143,0.00,0.18,0.18,0.00,0.18,0.10,0.14,0.24,0.10,0.24,Matches
85,Steven Beitashour,ir IRN,DF,Colorado Rapids,35,1987,12,7,607,6.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,21,17,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
86,Jon Bell,jm JAM,DF,St. Louis,25,1997,3,2,142,1.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
87,Zaydan Bello,au AUS,MF,Minnesota Utd,20,2002,1,0,15,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.43,0.00,0.43,Matches
88,Nico Benalcázar,us USA,MF,NYCFC,21,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
89,Ben Bender,us USA,MFFW,Charlotte,21,2001,17,11,906,10.1,3,2,5,3,0,0,1,0,1.5,1.5,1.3,2.7,25,49,94,0.30,0.20,0.50,0.30,0.50,0.15,0.13,0.27,0.15,0.27,Matches
90,Joe Bendik,us USA,GK,Philadelphia Union,33,1989,8,7,688,7.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
91,Christian Benteke,be BEL,FW,D.C. United,32,1990,31,31,2788,31.0,14,3,17,13,1,1,8,0,16.3,15.5,4.3,19.8,35,75,164,0.45,0.10,0.55,0.42,0.52,0.53,0.14,0.66,0.50,0.64,Matches
92,Sebastian Berhalter,us USA,MF,Vancouver W'caps,21,2001,28,11,1299,14.4,2,2,4,2,0,0,6,0,0.9,0.9,1.9,2.9,12,80,23,0.14,0.14,0.28,0.14,0.28,0.07,0.13,0.20,0.07,0.20,Matches
93,Federico Bernardeschi,it ITA,FWMF,Toronto FC,28,1994,31,31,2601,28.9,5,2,7,4,1,1,7,1,5.0,4.3,5.6,9.9,117,113,264,0.17,0.07,0.24,0.14,0.21,0.17,0.20,0.37,0.15,0.34,Matches
94,Miguel Berry,es ESP,FW,Atlanta Utd,25,1997,27,10,1037,11.5,1,0,1,1,0,0,1,0,0.6,0.6,0.6,1.1,8,14,34,0.09,0.00,0.09,0.09,0.09,0.05,0.05,0.10,0.05,0.10,Matches
95,Aaron Bibout,cm CMR,FW,LA Galaxy,18,2004,2,0,23,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.24,0.23,0.47,0.24,0.47,Matches
96,David Bingham,us USA,GK,Portland Timbers,33,1989,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
97,Steve Birnbaum,us USA,DF,D.C. United,32,1991,22,20,1610,17.9,1,0,1,1,0,0,2,1,1.1,1.1,0.8,1.9,2,34,6,0.06,0.00,0.06,0.06,0.06,0.06,0.04,0.11,0.06,0.11,Matches
98,Stipe Biuk,hr CRO,FW,LAFC,20,2002,30,13,1345,14.9,3,1,4,3,0,0,2,0,3.5,3.5,2.5,6.1,77,34,154,0.20,0.07,0.27,0.20,0.27,0.24,0.17,0.40,0.24,0.40,Matches
99,Tristan Blackmon,us USA,DF,Vancouver W'caps,26,1996,30,28,2520,28.0,2,0,2,2,0,0,5,0,1.5,1.5,0.2,1.7,18,95,3,0.07,0.00,0.07,0.07,0.07,0.05,0.01,0.06,0.05,0.06,Matches
100,Andre Blake,jm JAM,GK,Philadelphia Union,32,1990,27,27,2372,26.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk
101,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,34,1988,17,2,438,4.9,1,1,2,1,0,0,2,0,0.7,0.7,1.3,2.1,19,20,60,0.21,0.21,0.41,0.21,0.41,0.15,0.27,0.42,0.15,0.42,Matches
102,Latif Blessing,gh GHA,FWMF,Toronto FC,26,1996,5,1,155,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1,6,11,0.00,0.00,0.00,0.00,0.00,0.16,0.06,0.22,0.16,0.22,Matches
103,Latif Blessing,gh GHA,MF,NE Revolution,26,1996,15,14,1033,11.5,0,1,1,0,0,0,4,1,0.4,0.4,0.6,1.0,9,39,17,0.00,0.09,0.09,0.00,0.09,0.03,0.05,0.09,0.03,0.09,Matches
104,Njabulo Blom,za RSA,MF,St. Louis,23,1999,26,21,1915,21.3,1,0,1,1,0,0,6,0,0.4,0.4,0.3,0.7,8,81,17,0.05,0.00,0.05,0.05,0.05,0.02,0.02,0.03,0.02,0.03,Matches
105,Emmanuel Boateng,gh GHA,FWMF,NE Revolution,29,1994,27,16,1437,16.0,2,2,4,2,0,0,1,0,3.3,3.3,3.0,6.3,46,43,148,0.13,0.13,0.25,0.13,0.25,0.21,0.19,0.39,0.21,0.39,Matches
106,Israel Boatwright,do DOM,MFDF,Inter Miami,17,2005,2,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,7,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
107,Mateusz Bogusz,pl POL,MFFW,LAFC,21,2001,28,20,1739,19.3,3,3,6,2,1,1,6,0,3.9,3.1,4.3,7.4,56,110,127,0.16,0.16,0.31,0.10,0.26,0.20,0.22,0.42,0.16,0.38,Matches
108,Franck Boli,ci CIV,FW,Portland Timbers,29,1993,29,18,1457,16.2,7,1,8,7,0,0,5,0,6.6,6.6,1.1,7.7,28,29,107,0.43,0.06,0.49,0.43,0.49,0.41,0.07,0.48,0.41,0.48,Matches
109,Joshua Bolma,gh GHA,MF,NE Revolution,20,2002,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches
110,Moïse Bombito,ca CAN,DF,Colorado Rapids,22,2000,11,8,751,8.3,0,0,0,0,0,0,6,1,1.4,1.4,0.5,2.0,12,32,11,0.00,0.00,0.00,0.00,0.00,0.17,0.06,0.23,0.17,0.23,Matches
