ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
58,Julián Aude,ar ARG,DF,LA Galaxy,19,2003,13.3,27,18,17,9,1,19,38,50.0,19,20,5,15,19,46,29,0,Matches
59,Tomás Avilés,ar ARG,DF,Inter Miami,18,2004,9.7,24,15,16,7,1,16,27,59.3,11,9,5,4,19,43,10,0,Matches
60,David Ayala,ar ARG,MF,Portland Timbers,20,2002,1.8,8,5,2,5,1,2,6,33.3,4,4,0,4,4,12,3,0,Matches
61,Edison Azcona,do DOM,MFDF,Inter Miami,19,2003,0.6,3,1,0,2,1,0,3,0.0,3,1,0,1,0,3,0,0,Matches
62,Dominique Badji,sn SEN,FW,FC Cincinnati,30,1992,10.2,12,7,3,4,5,5,12,41.7,7,7,0,7,1,13,8,0,Matches
63,Corey Baird,us USA,FW,Houston Dynamo,27,1996,25.9,23,17,7,12,4,14,47,29.8,33,15,0,15,8,31,14,0,Matches
64,Esmir Bajraktarevic,ba BIH,FWMF,NE Revolution,17,2005,5.5,7,6,3,2,2,3,5,60.0,2,0,0,0,1,8,0,0,Matches
65,Cody Baker,us USA,DF,Seattle Sounders,19,2004,7.6,18,13,11,6,1,11,17,64.7,6,7,3,4,4,22,20,0,Matches
66,Reed Baker-Whiting,us USA,DFFW,Seattle Sounders,17,2005,7.1,20,14,13,6,1,8,16,50.0,8,8,0,8,6,26,17,0,Matches
67,Monsef Bakrar,dz ALG,FW,NYCFC,22,2001,8.4,2,0,0,2,0,0,1,0.0,1,2,0,2,2,4,4,0,Matches
68,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,22,2000,3.3,11,6,4,7,0,5,14,35.7,9,7,2,5,5,16,8,0,Matches
69,Tai Baribo,il ISR,FWMF,Philadelphia Union,25,1998,1.7,1,0,0,1,0,0,4,0.0,4,3,0,3,0,1,3,0,Matches
70,Tom Barlow,us USA,FW,NY Red Bulls,27,1995,20.5,11,6,3,6,2,4,13,30.8,9,10,1,9,5,16,11,0,Matches
71,Luis Barraza,us USA,GK,NYCFC,26,1996,24.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,1,Matches
72,Álvaro Barreal,ar ARG,DF,FC Cincinnati,22,2000,31.3,50,34,28,17,5,28,70,40.0,42,52,4,48,36,86,52,0,Matches
73,Michael Barrios,co COL,FWMF,Colorado Rapids,31,1991,9.3,5,3,3,2,0,4,12,33.3,8,7,0,7,5,10,2,0,Matches
74,Michael Barrios,co COL,FWMF,LA Galaxy,31,1991,1.3,3,3,0,1,2,2,2,100.0,0,1,0,1,0,3,1,0,Matches
