ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
367,Franco Ibarra,ar ARG,MF,Toronto FC,21,2001,4.9,11,7,4,7,0,4,15,26.7,11,7,3,4,8,19,9,0,Matches
368,Franco Ibarra,ar ARG,MF,Atlanta Utd,21,2001,14.2,61,33,25,31,5,33,62,53.2,29,31,1,30,14,75,31,1,Matches
369,Sebastien Ibeagha,us USA,DF,FC Dallas,31,1992,26.5,17,9,13,4,0,7,18,38.9,11,31,21,10,28,45,149,0,Matches
370,Aliyu Ibrahim,ng NGA,FW,Houston Dynamo,21,2002,13.4,16,11,2,9,5,6,14,42.9,8,9,0,9,1,17,4,0,Matches
371,Sunusi Ibrahim,ng NGA,FWMF,CF Montréal,20,2002,13.0,7,2,1,5,1,1,4,25.0,3,3,0,3,2,9,1,0,Matches
372,Tega Ikoba,us USA,FW,Portland Timbers,19,2003,1.0,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
373,Mitja Ilenič,si SVN,DF,NYCFC,18,2004,13.2,26,16,10,12,4,19,32,59.4,13,18,3,15,7,33,26,0,Matches
374,Ilias Iliadis,gr GRE,DFMF,CF Montréal,21,2001,2.8,5,3,2,2,1,3,4,75.0,1,0,0,0,5,10,4,0,Matches
375,Marko Ilić,rs SRB,GK,Colorado Rapids,24,1998,13.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,9,1,Matches
Rk
376,Asier Illarramendi,es ESP,MF,FC Dallas,32,1990,7.7,17,10,11,6,0,8,20,40.0,12,15,3,12,18,35,9,0,Matches
377,Lorenzo Insigne,it ITA,FWMF,Toronto FC,31,1991,16.9,10,7,5,3,2,3,21,14.3,18,7,0,7,13,23,1,0,Matches
378,Clint Irwin,us USA,GK,Minnesota Utd,33,1989,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
379,Aljaž Ivačič,si SVN,GK,Portland Timbers,29,1993,15.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,1,Matches
380,Emmanuel Iwe,us USA,FW,Minnesota Utd,22,2000,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
381,Ousman jabang,us USA,DF,CF Montréal,21,2001,0.9,3,0,3,0,0,3,4,75.0,1,2,2,0,2,5,3,1,Matches
382,Aziel Jackson,us USA,MFFW,St. Louis,21,2001,12.4,27,15,9,13,5,14,36,38.9,22,17,2,15,5,32,3,0,Matches
383,Jacob Jackson,us USA,GK,NE Revolution,22,2000,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
384,Bertin Jacquesson,fr FRA,FWMF,Real Salt Lake,22,2001,4.0,2,1,0,0,2,2,3,66.7,1,0,0,0,0,2,0,0,Matches
385,Eldin Jakupović,ch SUI,GK,LAFC,38,1984,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
386,Robin Jansson,se SWE,DF,Orlando City,31,1991,32.0,24,12,16,6,2,20,29,69.0,9,42,31,11,23,47,92,0,Matches
387,Andres Jasson,us USA,FW,NYCFC,21,2002,9.0,13,10,4,4,5,7,17,41.2,10,16,0,16,3,16,2,0,Matches
388,Mohanad Jeahze,iq IRQ,DF,D.C. United,25,1997,4.0,9,5,3,6,0,7,13,53.8,6,0,0,0,4,13,2,0,Matches
389,Corentin Jean,fr FRA,FWMF,Inter Miami,27,1995,9.2,18,12,6,9,3,11,17,64.7,6,4,1,3,3,21,7,0,Matches
390,Isak Jensen,dk DEN,MFFW,St. Louis,19,2003,1.6,4,3,1,2,1,3,9,33.3,6,5,0,5,1,5,2,0,Matches
391,Hector Jiménez,us USA,MF,Austin,34,1988,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
392,Jesús Jiménez,es ESP,FWMF,FC Dallas,29,1993,7.6,8,4,0,5,3,4,7,57.1,3,7,0,7,2,10,1,1,Matches
393,Stiven Jimenez,us USA,FW,FC Cincinnati,15,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
394,Levonte Johnson,ca CAN,FWDF,Vancouver W'caps,23,1999,2.2,4,3,4,0,0,0,3,0.0,3,2,0,2,1,5,2,0,Matches
395,Sean Johnson,us USA,GK,Toronto FC,33,1989,20.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,8,2,Matches
396,DeJuan Jones,us USA,DF,NE Revolution,25,1997,24.1,40,23,18,18,4,20,46,43.5,26,40,11,29,31,71,63,0,Matches
397,Derrick Jones,us USA,MFDF,Charlotte,25,1997,20.5,33,24,18,13,2,12,29,41.4,17,18,7,11,27,60,31,0,Matches
398,Juan José Sánchez,co COL,DF,Atlanta Utd,25,1998,23.7,33,14,20,13,0,16,25,64.0,9,24,17,7,37,70,98,0,Matches
399,Dejan Joveljić,rs SRB,FW,LA Galaxy,23,1999,18.1,8,6,0,2,6,1,12,8.3,11,9,3,6,3,11,5,0,Matches
400,Kamil Jóźwiak,pl POL,FWMF,Charlotte,24,1998,15.3,38,25,12,23,3,20,53,37.7,33,23,1,22,8,46,15,0,Matches
Rk
401,Preston Judd,us USA,FW,LA Galaxy,23,1999,7.1,2,1,0,1,1,1,4,25.0,3,3,1,2,1,3,5,0,Matches
402,Judson,br BRA,MF,SJ Earthquakes,29,1993,5.2,21,16,12,9,0,9,25,36.0,16,6,2,4,11,32,6,0,Matches
403,Anderson Julio,ec ECU,FW,Real Salt Lake,26,1996,12.8,8,6,2,4,2,3,13,23.1,10,13,1,12,2,10,10,0,Matches
404,Juninho,br BRA,MF,Orlando City,22,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
405,Sam Junqua,us USA,DFMF,FC Dallas,26,1996,11.4,17,12,8,7,2,11,20,55.0,9,20,4,16,11,28,23,0,Matches
406,Kristijan Kahlina,hr CRO,GK,Charlotte,30,1992,24.0,2,1,2,0,0,2,4,50.0,2,0,0,0,0,2,16,1,Matches
407,Brent Kallman,us USA,DFFW,Minnesota Utd,32,1990,2.2,3,2,3,0,0,2,6,33.3,4,4,1,3,0,3,11,0,Matches
408,Kei Kamara,sl SLE,FW,Chicago Fire,38,1984,16.9,6,1,0,3,3,2,9,22.2,7,14,4,10,4,10,29,0,Matches
409,Bernard Kamungo,us USA,FWMF,FC Dallas,21,2002,5.6,11,5,4,4,3,4,9,44.4,5,3,0,3,3,14,5,0,Matches
410,Alec Kann,us USA,GK,FC Cincinnati,32,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
411,Ercan Kara,at AUT,FW,Orlando City,27,1996,9.4,3,2,1,0,2,1,8,12.5,7,3,2,1,2,5,10,0,Matches
412,Ibrahim Kasule,ug UGA,MF,NY Red Bulls,18,2004,0.3,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,1,0,Matches
413,Mark-Anthony Kaye,ca CAN,MF,Toronto FC,28,1994,20.4,66,54,34,28,4,36,67,53.7,31,21,6,15,28,94,33,1,Matches
414,Mark-Anthony Kaye,ca CAN,MF,NE Revolution,28,1994,8.7,30,16,12,13,5,11,29,37.9,18,13,2,11,11,41,18,0,Matches
415,Axel Kei,us USA,FW,Real Salt Lake,15,2007,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
416,Kipp Keller,us USA,DF,Austin,22,2000,4.9,1,1,1,0,0,0,3,0.0,3,4,3,1,0,1,19,1,Matches
417,Deandre Kerr,ca CAN,FWMF,Toronto FC,20,2002,13.5,11,8,3,7,1,5,12,41.7,7,8,1,7,4,15,4,0,Matches
418,Henry Kessler,us USA,DF,NE Revolution,24,1998,7.7,15,13,9,6,0,6,7,85.7,1,19,12,7,5,20,26,0,Matches
419,Benjamin Kikanovic,us USA,FWMF,SJ Earthquakes,23,2000,7.8,9,5,5,0,4,3,11,27.3,8,9,0,9,8,17,9,0,Matches
420,Gadi Kinda,il ISR,MF,Sporting KC,28,1994,9.3,21,11,11,6,4,11,21,52.4,10,8,0,8,4,25,6,0,Matches
421,Sota Kitahara,us USA,DF,Seattle Sounders,20,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
422,Klauss,br BRA,FW,St. Louis,25,1997,14.6,15,7,3,8,4,4,20,20.0,16,9,2,7,7,22,20,0,Matches
423,John Klein,us USA,MF,St. Louis,23,1999,0.3,2,2,0,1,1,1,1,100.0,0,1,0,1,1,3,0,0,Matches
424,Mateusz Klich,pl POL,MFFW,D.C. United,32,1990,30.2,48,36,14,24,10,21,59,35.6,38,34,4,30,14,62,11,1,Matches
425,Jonathan Klinsmann,us USA,GK,LA Galaxy,25,1997,9.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1,Matches
Rk
426,Žan Kolmanič,si SVN,DF,Austin,22,2000,4.7,14,11,7,7,0,7,10,70.0,3,4,1,3,6,20,15,0,Matches
427,Amet Korca,us USA,DF,FC Dallas,22,2000,1.7,1,0,1,0,0,1,1,100.0,0,3,3,0,4,5,1,1,Matches
428,Georgios Koutsias,gr GRE,FWMF,Chicago Fire,18,2004,11.3,4,2,2,1,1,2,16,12.5,14,8,4,4,3,7,13,0,Matches
429,Sebastian Kowalczyk,pl POL,FWMF,Houston Dynamo,24,1998,3.9,2,2,0,2,0,0,1,0.0,1,3,0,3,2,4,1,1,Matches
430,Filip Krastev,bg BUL,MF,LAFC,21,2001,1.8,6,3,3,2,1,1,7,14.3,6,8,0,8,1,7,1,0,Matches
431,Damir Kreilach,hr CRO,FWMF,Real Salt Lake,33,1989,14.6,2,1,1,0,1,1,9,11.1,8,4,1,3,2,4,15,0,Matches
432,Serhiy Kryvtsov,ua UKR,DF,Inter Miami,31,1991,23.5,19,11,11,7,1,6,13,46.2,7,30,18,12,31,50,81,0,Matches
433,Theodore Ku-Dipietro,us USA,FWMF,D.C. United,21,2002,13.0,21,12,10,7,4,5,19,26.3,14,6,0,6,6,27,2,0,Matches
434,Yuya Kubo,jp JPN,MFFW,FC Cincinnati,29,1993,11.9,18,12,9,8,1,4,21,19.0,17,9,1,8,10,28,8,0,Matches
435,Jojea Kwizera,rw RWA,DF,CF Montréal,24,1999,1.5,3,1,1,1,1,1,3,33.3,2,0,0,0,1,4,0,0,Matches
436,Mathías Laborda,uy URU,DF,Vancouver W'caps,23,1999,17.1,41,23,30,9,2,19,44,43.2,25,9,5,4,23,64,61,0,Matches
437,Kevon Lambert,jm JAM,DF,Real Salt Lake,25,1997,0.3,1,0,0,0,1,0,0,,0,0,0,0,1,2,3,0,Matches
438,Lassi Lappalainen,fi FIN,DFFW,CF Montréal,24,1998,11.5,19,14,6,10,3,10,25,40.0,15,17,0,17,8,27,12,0,Matches
439,Oliver Larraz,us USA,MF,Colorado Rapids,21,2001,0.2,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
440,Richie Laryea,ca CAN,DF,Toronto FC,28,1995,17.9,35,19,23,12,0,18,34,52.9,16,19,8,11,22,57,31,1,Matches
441,Richie Laryea,ca CAN,FWDF,Vancouver W'caps,28,1995,10.5,20,17,12,4,4,7,9,77.8,2,3,1,2,8,28,7,1,Matches
442,Ariel Lassiter,cr CRC,FWMF,Inter Miami,28,1994,1.7,3,2,0,1,2,2,4,50.0,2,2,0,2,1,4,0,0,Matches
443,Ariel Lassiter,cr CRC,DFMF,CF Montréal,28,1994,17.7,7,7,3,4,0,4,9,44.4,5,9,1,8,13,20,15,0,Matches
444,Kemar Lawrence,jm JAM,DF,Minnesota Utd,30,1992,12.4,17,13,10,5,2,10,13,76.9,3,16,7,9,16,33,27,0,Matches
445,Randall Leal,cr CRC,MFFW,Nashville SC,26,1997,12.7,25,15,8,11,6,9,32,28.1,23,10,1,9,7,32,4,0,Matches
446,Richy Ledezma,us USA,MFFW,NYCFC,22,2000,13.2,7,4,2,5,0,1,8,12.5,7,8,1,7,6,13,2,0,Matches
447,Kelvin Leerdam,sr SUR,DF,LA Galaxy,32,1990,13.4,13,6,8,3,2,10,15,66.7,5,10,6,4,9,22,63,0,Matches
448,Tim Leibold,de GER,DF,Sporting KC,29,1993,9.7,22,13,8,10,4,9,22,40.9,13,11,1,10,17,39,14,0,Matches
449,Brooks Lennon,us USA,DF,Atlanta Utd,25,1997,32.0,37,22,19,15,3,21,37,56.8,16,33,12,21,27,64,80,0,Matches
450,Jonathan Lewis,us USA,FWMF,Colorado Rapids,25,1997,13.2,10,7,2,7,1,4,11,36.4,7,4,2,2,4,14,3,0,Matches
Rk
451,Danny Leyva,us USA,MF,Colorado Rapids,19,2003,7.1,7,4,4,3,0,3,14,21.4,11,7,3,4,11,18,6,0,Matches
452,Danny Leyva,us USA,MFFW,Seattle Sounders,19,2003,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,1,0,Matches
453,Nick Lima,us USA,DF,Austin,28,1994,27.0,27,19,16,9,2,20,44,45.5,24,25,7,18,22,49,62,0,Matches
454,Jaylin Lindsey,us USA,DF,Charlotte,22,2000,14.5,30,19,14,11,5,11,23,47.8,12,23,4,19,15,45,35,0,Matches
455,Sebastian Lletget,us USA,MFFW,FC Dallas,30,1992,12.9,17,10,5,7,5,10,22,45.5,12,15,6,9,9,26,12,1,Matches
456,Saba Lobzhanidze,ge GEO,FW,Atlanta Utd,28,1994,5.2,1,0,1,0,0,0,1,0.0,1,5,0,5,2,3,3,0,Matches
457,Robin Lod,fi FIN,MFFW,Minnesota Utd,29,1993,10.0,18,10,8,8,2,4,21,19.0,17,9,1,8,6,24,10,1,Matches
458,Nicolás Lodeiro,uy URU,MFFW,Seattle Sounders,33,1989,27.5,47,27,15,22,10,24,65,36.9,41,22,1,21,16,63,9,0,Matches
459,Jasper Löffelsend,de GER,MF,Real Salt Lake,25,1997,12.6,37,24,16,20,1,16,39,41.0,23,16,2,14,11,48,22,0,Matches
460,Aaron Long,us USA,DF,LAFC,30,1992,16.9,30,20,18,10,2,11,13,84.6,2,20,9,11,20,50,75,0,Matches
461,Erik López,py PAR,FWMF,Atlanta Utd,21,2001,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
462,Marvin Loría,cr CRC,FWMF,Portland Timbers,25,1997,8.4,7,5,6,1,0,3,10,30.0,7,9,0,9,13,20,1,0,Matches
463,Daniel Lovitz,us USA,DF,Nashville SC,31,1991,31.6,55,33,26,15,14,32,54,59.3,22,35,10,25,28,83,73,0,Matches
464,Damion Lowe,jm JAM,DF,Philadelphia Union,29,1993,13.7,31,19,23,7,1,16,32,50.0,16,15,8,7,35,66,68,0,Matches
465,Eduard Löwen,de GER,MF,St. Louis,26,1997,25.6,64,42,27,27,10,33,76,43.4,43,41,11,30,16,80,29,0,Matches
466,Favian Loyola,cl CHI,MF,Orlando City,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
467,Diego Luna,us USA,MFFW,Real Salt Lake,19,2003,13.3,11,8,5,5,1,5,16,31.3,11,20,2,18,15,26,6,1,Matches
468,Adam Lundqvist,se SWE,DFMF,Austin,28,1994,9.6,29,15,16,10,3,17,33,51.5,16,17,4,13,12,41,22,0,Matches
469,Benjamin Lundt,de GER,GK,St. Louis,27,1995,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
470,Luquinhas,br BRA,MFFW,NY Red Bulls,26,1996,22.2,28,15,4,15,9,12,32,37.5,20,24,1,23,14,42,2,0,Matches
471,Jack Lynn,us USA,MFFW,Orlando City,23,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
472,Larrys Mabiala,cd COD,DF,Portland Timbers,35,1987,9.8,13,8,10,3,0,9,16,56.3,7,12,7,5,11,24,40,0,Matches
473,Aimé Mabika,zm ZAM,DF,Toronto FC,24,1998,16.8,25,19,21,4,0,11,17,64.7,6,36,28,8,11,36,61,1,Matches
474,Zac MacMath,us USA,GK,Real Salt Lake,31,1991,27.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,3,Matches
475,Lukas MacNaughton,ca CAN,DF,Toronto FC,27,1995,2.0,3,1,2,1,0,2,2,100.0,0,2,2,0,2,5,6,1,Matches
Rk
476,Lukas MacNaughton,ca CAN,DF,Nashville SC,27,1995,11.9,11,8,8,3,0,4,10,40.0,6,10,7,3,30,41,49,1,Matches
477,Talles Magno,br BRA,FW,NYCFC,20,2002,21.2,30,16,8,15,7,14,22,63.6,8,16,0,16,5,35,8,0,Matches
478,Jack Maher,us USA,DF,Nashville SC,23,1999,32.0,37,22,26,10,1,20,28,71.4,8,25,17,8,23,60,128,0,Matches
479,Cassius Mailula,za RSA,FWMF,Toronto FC,21,2001,0.8,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,Matches
480,Christian Makoun,ve VEN,DFMF,NE Revolution,22,2000,5.4,14,6,7,7,0,5,8,62.5,3,6,2,4,6,20,15,0,Matches
481,Adilson Malanda,fr FRA,DF,Charlotte,21,2001,28.5,39,24,27,11,1,23,37,62.2,14,40,23,17,32,71,116,2,Matches
482,Denil Maldonado,hn HON,DF,LAFC,24,1998,18.6,21,14,12,9,0,12,27,44.4,15,19,13,6,23,44,65,0,Matches
483,Machop Malual,ss SSD,FWMF,Atlanta Utd,24,1998,5.2,7,4,2,5,0,2,2,100.0,0,9,1,8,3,10,0,0,Matches
484,Elias Manoel,br BRA,FW,NY Red Bulls,21,2001,18.4,11,5,4,2,5,4,12,33.3,8,24,0,24,4,15,5,0,Matches
485,J.T. Marcinkowski,us USA,GK,SJ Earthquakes,25,1997,12.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches
486,Paul Marie,fr FRA,DF,SJ Earthquakes,27,1995,22.3,65,37,41,17,7,37,80,46.3,43,41,7,34,26,91,47,0,Matches
487,Anthony Markanich,ph PHI,DF,Colorado Rapids,23,1999,3.8,13,7,9,4,0,7,14,50.0,7,8,2,6,5,18,17,0,Matches
488,Anthony Markanich,ph PHI,DF,St. Louis,23,1999,7.3,18,10,7,7,4,7,15,46.7,8,11,3,8,14,32,14,0,Matches
489,George Marks,us USA,GK,Charlotte,23,1999,7.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,4,1,Matches
490,Mikael Marques,se SWE,MF,Minnesota Utd,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
491,Jahkeele Marshall-Rutty,ca CAN,MFDF,Toronto FC,18,2004,12.8,29,15,19,9,1,12,24,50.0,12,13,1,12,6,35,12,0,Matches
492,Alonso Martínez,cr CRC,FWDF,NYCFC,24,1998,0.4,1,1,0,1,0,1,1,100.0,0,4,0,4,0,1,0,0,Matches
493,José Martínez,es ESP,DF,FC Dallas,29,1993,15.9,18,12,13,4,1,9,13,69.2,4,14,8,6,16,34,66,0,Matches
494,Josef Martínez,ve VEN,FW,Inter Miami,29,1993,19.3,5,3,2,0,3,3,8,37.5,5,5,1,4,1,6,12,0,Matches
495,Luís Martins,pt POR,DF,Vancouver W'caps,30,1992,18.0,35,23,17,14,4,21,34,61.8,13,8,2,6,25,60,37,1,Matches
496,Thiago Martins,br BRA,DF,NYCFC,27,1995,24.3,30,20,23,7,0,19,24,79.2,5,21,10,11,12,42,122,1,Matches
497,Alexandru Mățan,ro ROU,MFFW,Columbus Crew,23,1999,25.2,14,11,7,6,1,6,24,25.0,18,19,1,18,12,26,3,0,Matches
498,Jimmy Maurer,us USA,GK,FC Dallas,34,1988,4.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
499,Chris Mavinga,cd COD,DF,LA Galaxy,31,1991,12.5,8,4,6,2,0,4,8,50.0,4,16,11,5,10,18,43,2,Matches
500,Max,br BRA,MFFW,Colorado Rapids,21,2001,7.4,18,11,11,4,3,10,19,52.6,9,12,0,12,7,25,12,0,Matches
Rk
501,Andreas Maxsø,dk DEN,DF,Colorado Rapids,28,1994,32.5,13,5,8,5,0,6,12,50.0,6,29,25,4,17,30,122,0,Matches
502,Olivier Mbaizo,cm CMR,DF,Philadelphia Union,25,1997,20.4,26,15,13,12,1,8,26,30.8,18,13,2,11,23,49,27,2,Matches
503,Hugo-Hilaire Mbongue Mbongue,ca CAN,FWMF,Toronto FC,18,2004,2.9,1,0,0,1,0,0,2,0.0,2,2,0,2,0,1,3,0,Matches
504,John McCarthy,us USA,GK,LAFC,30,1992,25.0,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,7,2,Matches
505,Dax McCarty,us USA,MF,Nashville SC,35,1987,21.0,48,28,23,20,5,26,52,50.0,26,26,12,14,20,68,36,0,Matches
506,Jack McGlynn,us USA,MF,Philadelphia Union,19,2003,18.0,28,13,17,9,2,20,44,45.5,24,11,1,10,13,41,14,0,Matches
507,Zac McGraw,ca CAN,DF,Portland Timbers,25,1997,26.9,44,20,28,16,0,27,40,67.5,13,43,28,15,42,86,159,2,Matches
508,Duncan McGuire,us USA,FW,Orlando City,21,2001,15.4,5,3,0,2,3,1,5,20.0,4,13,1,12,2,7,17,0,Matches
509,Kendall McIntosh,us USA,GK,Sporting KC,29,1994,13.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,4,0,Matches
510,Thomas McNamara,us USA,MFFW,NE Revolution,31,1991,2.1,1,1,0,0,1,1,3,33.3,2,1,1,0,2,3,3,0,Matches
511,Christopher McVey,se SWE,DF,Inter Miami,25,1997,13.5,21,9,11,8,2,9,20,45.0,11,14,8,6,23,44,34,0,Matches
512,Jimmy Medranda,co COL,MFDF,Columbus Crew,28,1994,1.2,6,3,5,1,0,1,3,33.3,2,3,1,2,4,10,0,0,Matches
513,Tim Melia,us USA,GK,Sporting KC,36,1986,15.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1,Matches
514,Vinicius Mello,br BRA,FW,Charlotte,20,2002,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
515,Jonathan Mensah,gh GHA,DF,SJ Earthquakes,32,1990,21.7,8,6,5,3,0,5,10,50.0,5,28,17,11,20,28,92,1,Matches
516,Justin Meram,iq IRQ,FWMF,Charlotte,34,1988,14.8,17,10,5,7,5,12,29,41.4,17,12,0,12,7,24,11,0,Matches
517,Justin Meram,iq IRQ,FWMF,Real Salt Lake,34,1988,2.0,10,9,5,5,0,7,11,63.6,4,2,1,1,4,14,5,0,Matches
518,Lionel Messi,ar ARG,FWMF,Inter Miami,35,1987,4.1,1,1,0,1,0,0,2,0.0,2,0,0,0,1,2,0,0,Matches
519,Matt Miazga,us USA,DF,FC Cincinnati,27,1995,26.5,25,17,18,7,0,17,20,85.0,3,33,26,7,36,61,136,1,Matches
520,Micael,br BRA,DF,Houston Dynamo,22,2000,21.9,38,25,28,7,3,18,24,75.0,6,31,17,14,28,66,125,2,Matches
521,Novak Mićović,rs SRB,GK,LA Galaxy,21,2001,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
522,Matko Miljevic,us USA,MFFW,CF Montréal,21,2001,1.5,2,1,0,1,1,0,3,0.0,3,0,0,0,1,3,0,0,Matches
523,Eric Miller,us USA,DF,Portland Timbers,30,1993,13.4,16,12,9,4,3,12,21,57.1,9,9,6,3,7,23,45,1,Matches
524,Kamal Miller,ca CAN,DF,Inter Miami,25,1997,20.5,29,22,21,8,0,23,34,67.6,11,17,10,7,25,54,58,2,Matches
525,Kamal Miller,ca CAN,DF,CF Montréal,25,1997,5.3,3,2,1,1,1,2,5,40.0,3,5,3,2,6,9,12,0,Matches
Rk
526,Tyler Miller,us USA,GK,D.C. United,29,1993,24.5,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,21,5,Matches
527,Kevin Molino,tt TRI,MFFW,Columbus Crew,32,1990,0.7,4,3,2,1,1,1,1,100.0,0,2,0,2,0,4,0,0,Matches
528,Alex Monis,ph PHI,FW,Chicago Fire,19,2003,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0,Matches
529,Jamiro Monteiro,cv CPV,MF,SJ Earthquakes,29,1993,23.6,37,24,15,18,4,10,48,20.8,38,23,2,21,15,52,4,0,Matches
530,Fredy Montero,co COL,FWMF,Seattle Sounders,35,1987,4.8,7,6,2,3,2,2,7,28.6,5,1,0,1,0,7,0,0,Matches
531,Shaq Moore,us USA,DF,Nashville SC,26,1996,30.8,80,50,53,21,6,42,60,70.0,18,33,11,22,25,105,59,0,Matches
532,Felipe Mora,cl CHI,FW,Portland Timbers,29,1993,9.1,4,2,0,3,1,0,4,0.0,4,1,1,0,0,4,3,0,Matches
533,Joseph Mora,cr CRC,DF,Charlotte,30,1993,2.1,5,3,4,1,0,3,5,60.0,2,4,0,4,4,9,6,0,Matches
534,Alfredo Morales,us USA,MF,NYCFC,32,1990,12.9,23,9,12,10,1,9,21,42.9,12,17,4,13,11,34,20,0,Matches
535,Maximiliano Moralez,ar ARG,MFFW,NYCFC,35,1987,3.5,5,3,1,3,1,2,6,33.3,4,4,1,3,3,8,0,0,Matches
536,Steven Moreira,cv CPV,DF,Columbus Crew,28,1994,32.5,39,20,26,13,0,21,37,56.8,16,36,13,23,21,60,58,2,Matches
537,Junior Moreno,ve VEN,MF,FC Cincinnati,29,1993,25.0,35,19,19,13,3,17,32,53.1,15,31,13,18,22,57,24,0,Matches
538,Santiago Moreno,co COL,FWMF,Portland Timbers,22,2000,25.9,49,24,14,24,11,14,56,25.0,42,38,3,35,23,72,11,0,Matches
539,Lewis Morgan,sct SCO,MFFW,NY Red Bulls,26,1996,3.3,1,1,0,1,0,0,1,0.0,1,5,0,5,1,2,3,0,Matches
540,Aidan Morris,us USA,MF,Columbus Crew,21,2001,28.7,98,58,36,49,13,34,97,35.1,63,33,3,30,44,142,11,0,Matches
541,Jordan Morris,us USA,FW,Seattle Sounders,28,1994,22.0,12,9,5,6,1,4,8,50.0,4,13,2,11,3,15,11,0,Matches
542,Edwin Mosquera,co COL,FWMF,Atlanta Utd,21,2001,4.9,7,6,1,4,2,2,5,40.0,3,3,2,1,4,11,2,0,Matches
543,Yerson Mosquera,co COL,DF,FC Cincinnati,21,2001,25.0,45,37,31,11,3,20,37,54.1,17,31,16,15,47,92,112,1,Matches
544,Jean Mota,br BRA,MF,Inter Miami,29,1993,10.1,37,22,21,13,3,23,46,50.0,23,14,4,10,11,48,10,0,Matches
545,Chris Mueller,us USA,FWMF,Chicago Fire,26,1996,7.9,7,7,2,4,1,5,12,41.7,7,14,1,13,3,10,6,0,Matches
546,Hany Mukhtar,de GER,FWMF,Nashville SC,27,1995,31.5,16,10,0,9,7,10,33,30.3,23,15,0,15,6,22,5,0,Matches
547,José Mulato,co COL,FWMF,FC Dallas,20,2003,1.2,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches
548,O'Vonte Mullings,ca CAN,MFDF,NY Red Bulls,22,2000,0.5,1,1,1,0,0,0,0,,0,1,0,1,2,3,0,0,Matches
549,Daniel Munie,us USA,DF,SJ Earthquakes,22,2000,1.2,0,0,0,0,0,0,1,0.0,1,4,4,0,1,1,12,0,Matches
550,Ian Murphy,us USA,DF,FC Cincinnati,23,2000,16.9,34,20,21,11,2,12,23,52.2,11,20,8,12,10,44,42,0,Matches
Rk
551,Daniel Musovski,us USA,FW,Real Salt Lake,27,1995,13.4,15,11,4,10,1,3,19,15.8,16,10,1,9,1,16,9,0,Matches
552,Alex Muyl,us USA,MFDF,Nashville SC,27,1995,22.7,46,19,15,26,5,17,54,31.5,37,37,5,32,22,68,25,0,Matches
553,Tristan Muyumba,,MF,Atlanta Utd,25,1997,9.1,31,15,16,13,2,12,27,44.4,15,13,1,12,4,35,2,1,Matches
