ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
843,Maya Yoshida,jp JPN,DF,LA Galaxy,34,1988,12.0,4,0.33,2,0,0,2,0,0,2,0.17,1,0,0,1,0,0,Matches
844,Jackson Yueill,us USA,MF,SJ Earthquakes,25,1997,30.2,73,2.42,60,3,4,3,2,1,5,0.17,5,0,0,0,0,0,Matches
845,Gyasi Zardes,us USA,FW,Austin,31,1991,16.3,25,1.53,20,0,1,1,2,1,4,0.25,3,0,0,1,0,0,Matches
846,Eriq Zavaleta,sv SLV,DF,LA Galaxy,30,1992,5.4,1,0.18,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
847,Sean Zawadzki,us USA,DFMF,Columbus Crew,22,2000,17.5,18,1.03,18,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches
848,Lucas Zelarayán,am ARM,MFFW,Columbus Crew,30,1992,18.9,109,5.76,64,21,14,4,5,1,11,0.58,6,1,3,0,1,0,Matches
849,Walker Zimmerman,us USA,DF,Nashville SC,29,1993,20.5,19,0.93,14,0,1,4,0,0,3,0.15,2,0,1,0,0,0,Matches
850,Rida Zouhir,ca CAN,MFFW,CF Montréal,19,2003,2.5,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk
851,Ethan Zubak,us USA,FW,Nashville SC,24,1998,1.6,5,3.17,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
852,Dario Župarić,ba BIH,DF,Portland Timbers,30,1992,31.0,10,0.32,6,0,0,2,1,1,1,0.03,1,0,0,0,0,0,Matches
853,Graham Zusi,us USA,DF,Sporting KC,36,1986,9.6,26,2.71,18,3,1,1,3,0,1,0.10,1,0,0,0,0,0,Matches
854,Nökkvi Þórisson,is ISL,FWMF,St. Louis,23,1999,3.0,7,2.35,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
855,Róbert Þorkelsson,is ISL,DF,CF Montréal,20,2002,2.5,2,0.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
