ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
93,James Sands,us USA,MFDF,NYCFC,22,$19231 (€ 17623 £ 15151),$1000000 (€ 916404 £ 787828),
94,Giorgio Chiellini,it ITA,DF,LAFC,38,$19231 (€ 17623 £ 15151),$1000000 (€ 916404 £ 787828),
95,Tim Parker,us USA,DF,St. Louis,29,$19231 (€ 17623 £ 15151),$1000000 (€ 916404 £ 787828),
96,Jordi Alba,es ESP,DF,Inter Miami,33,$19231 (€ 17623 £ 15151),$1000000 (€ 916404 £ 787828),
97,Diego Fagúndez,uy URU,FWMF,LA Galaxy,27,$19231 (€ 17623 £ 15151),$1000000 (€ 916404 £ 787828),
98,Enzo Copetti,ar ARG,FW,Charlotte,27,$19231 (€ 17623 £ 15151),$1000000 (€ 916404 £ 787828),
99,Jamal Thiaré,sn SEN,FW,Atlanta Utd,29,$18802 (€ 17230 £ 14812),$977679 (€ 895949 £ 770243),
100,Julián Carranza,ar ARG,FW,Philadelphia Union,22,$18269 (€ 16742 £ 14393),$950000 (€ 870584 £ 748436),
Rk
101,Talles Magno,br BRA,FW,NYCFC,20,$18269 (€ 16742 £ 14393),$950000 (€ 870584 £ 748436),
102,Héber,br BRA,FWMF,Seattle Sounders,31,$17885 (€ 16390 £ 14090),$930000 (€ 852256 £ 732680),
103,Cristián Dajome,co COL,FWDF,D.C. United,29,$17308 (€ 15861 £ 13635),$900000 (€ 824764 £ 709045),
104,Jakob Glesnes,no NOR,DF,Philadelphia Union,28,$17308 (€ 15861 £ 13635),$900000 (€ 824764 £ 709045),
105,Antonio Carlos,br BRA,DF,Orlando City,29,$17308 (€ 15861 £ 13635),$900000 (€ 824764 £ 709045),
106,Robin Lod,fi FIN,MFFW,Minnesota Utd,29,$17308 (€ 15861 £ 13635),$900000 (€ 824764 £ 709045),
107,Alessandro Schöpf,at AUT,MF,Vancouver W'caps,28,$17308 (€ 15861 £ 13635),$900000 (€ 824764 £ 709045),
108,Brandon Vazquez,us USA,FW,FC Cincinnati,24,$17308 (€ 15861 £ 13635),$900000 (€ 824764 £ 709045),
109,Mario González,es ESP,FW,LAFC,26,$17087 (€ 15658 £ 13461),$888500 (€ 814225 £ 699985),
110,Julian Gressel,us USA,DFMF,Columbus Crew,29,$17000 (€ 15579 £ 13393),$884000 (€ 810102 £ 696440),
111,Ravel Morrison,jm JAM,AM,D.C. United,30,$16346 (€ 14980 £ 12878),$850000 (€ 778944 £ 669654),
112,Gadi Kinda,il ISR,MF,Sporting KC,28,$16346 (€ 14980 £ 12878),$850000 (€ 778944 £ 669654),
113,Rémi Walter,fr FRA,MF,Sporting KC,27,$16346 (€ 14980 £ 12878),$850000 (€ 778944 £ 669654),
114,Wil Trapp,us USA,MF,Minnesota Utd,30,$16346 (€ 14980 £ 12878),$850000 (€ 778944 £ 669654),
115,Jarosław Niezgoda,pl POL,FW,Portland Timbers,27,$16346 (€ 14980 £ 12878),$850000 (€ 778944 £ 669654),
116,Martín Ojeda,ar ARG,FWMF,Orlando City,24,$16154 (€ 14803 £ 12726),$840000 (€ 769780 £ 661775),
117,Facundo Quignon,ar ARG,MF,FC Dallas,29,$16077 (€ 14733 £ 12666),$836000 (€ 766114 £ 658624),
118,Sean Davis,us USA,MF,Nashville SC,29,$15865 (€ 14539 £ 12499),$825000 (€ 756034 £ 649958),
119,DeAndre Yedlin,us USA,DF,Inter Miami,29,$15865 (€ 14539 £ 12499),$825000 (€ 756034 £ 649958),
120,Brecht Dejaegere,be BEL,FWMF,Charlotte,31,$15769 (€ 14451 £ 12423),$820000 (€ 751452 £ 646019),
121,Steve Birnbaum,us USA,DF,D.C. United,32,$15673 (€ 14363 £ 12348),$815000 (€ 746870 £ 642080),
122,Paxton Pomykal,us USA,MF,FC Dallas,23,$15385 (€ 14099 £ 12120),$800000 (€ 733124 £ 630262),
123,Derrick Williams,ie IRL,DF,D.C. United,30,$15385 (€ 14099 £ 12120),$800000 (€ 733124 £ 630262),
124,Nemanja Radoja,rs SRB,MF,Sporting KC,29,$15385 (€ 14099 £ 12120),$800000 (€ 733124 £ 630262),
125,Gyasi Zardes,us USA,FW,Austin,31,$15385 (€ 14099 £ 12120),$800000 (€ 733124 £ 630262),
Rk
126,Maya Yoshida,jp JPN,DF,LA Galaxy,34,$15385 (€ 14099 £ 12120),$800000 (€ 733124 £ 630262),
127,Alejandro Bedoya,us USA,MF,Philadelphia Union,35,$15000 (€ 13746 £ 11817),$780000 (€ 714795 £ 614506),
128,Matt Hedges,us USA,DF,Austin,32,$14928 (€ 13680 £ 11761),$776250 (€ 711359 £ 611551),
129,Andre Blake,jm JAM,GK,Philadelphia Union,32,$14904 (€ 13658 £ 11742),$775000 (€ 710213 £ 610567),
130,Jeremy Ebobisse,us USA,FW,SJ Earthquakes,25,$14692 (€ 13464 £ 11575),$763980 (€ 700115 £ 601885),
131,Sigurd Rosted,no NOR,DF,Toronto FC,28,$14685 (€ 13458 £ 11570),$763636 (€ 699799 £ 601614),
132,Jack Price,eng ENG,MF,Colorado Rapids,30,$14663 (€ 13438 £ 11552),$762500 (€ 698758 £ 600719),
133,Mathías Laborda, ,CB,Vancouver W'caps,23,$14615 (€ 13394 £ 11514),$760000 (€ 696467 £ 598749),
134,Aníbal Godoy,pa PAN,MF,Nashville SC,32,$14423 (€ 13217 £ 11363),$750000 (€ 687303 £ 590871),
135,Mark-Anthony Kaye,ca CAN,MF,NE Revolution,28,$14423 (€ 13217 £ 11363),$750000 (€ 687303 £ 590871),
136,Jack Elliott,eng ENG,DF,Philadelphia Union,27,$14423 (€ 13217 £ 11363),$750000 (€ 687303 £ 590871),
137,Xavier Arreaga,ec ECU,DFMF,Seattle Sounders,28,$14423 (€ 13217 £ 11363),$750000 (€ 687303 £ 590871),
138,Jackson Yueill,us USA,MF,SJ Earthquakes,25,$14423 (€ 13217 £ 11363),$750000 (€ 687303 £ 590871),
139,Jean Mota,br BRA,MF,Inter Miami,29,$14423 (€ 13217 £ 11363),$750000 (€ 687303 £ 590871),
140,Marky Delgado,us USA,MF,LA Galaxy,27,$14423 (€ 13217 £ 11363),$750000 (€ 687303 £ 590871),
141,Ashley Westwood,eng ENG,MF,Charlotte,32,$14423 (€ 13217 £ 11363),$750000 (€ 687303 £ 590871),
142,Anderson Julio,ec ECU,FW,Real Salt Lake,26,$14423 (€ 13217 £ 11363),$750000 (€ 687303 £ 590871),
143,Kevin Molino,tt TRI,MFFW,Columbus Crew,32,$14142 (€ 12960 £ 11141),$735367 (€ 673894 £ 579343),
144,Dario Župarić,ba BIH,DF,Portland Timbers,30,$14135 (€ 12953 £ 11136),$735000 (€ 673557 £ 579053),
145,Sam Adekugbe,ca CAN,FWDF,Vancouver W'caps,28,$14029 (€ 12856 £ 11053),$729516 (€ 668532 £ 574733),
146,Shaq Moore,us USA,DF,Nashville SC,26,$13942 (€ 12777 £ 10984),$725000 (€ 664393 £ 571175),
147,Gregore,br BRA,MF,Inter Miami,28,$13942 (€ 12777 £ 10984),$725000 (€ 664393 £ 571175),
148,Justen Glad,us USA,DF,Real Salt Lake,25,$13942 (€ 12777 £ 10984),$725000 (€ 664393 £ 571175),
