ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
430,Ben Sweat,us USA,DF,NE Revolution,31,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
431,Kyle Smith,us USA,DF,Orlando City,31,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
432,Cameron Harper,us USA,DFMF,NY Red Bulls,21,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
433,Indiana Vassilev,us USA,MF,St. Louis,21,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
434,Jake Nerwinski,us USA,DF,St. Louis,28,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
435,Judson,br BRA,MF,SJ Earthquakes,29,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
436,Tanner Beason,us USA,DF,SJ Earthquakes,25,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
437,Victor Ulloa,us USA,MF,Inter Miami,30,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
438,Jonathan Perez,mx MEX,DFMF,LA Galaxy,20,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
439,Jaylin Lindsey,us USA,DF,Charlotte,22,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
440,Andrew Brody,us USA,DF,Real Salt Lake,27,$4808 (€ 4406 £ 3788),$250000 (€ 229101 £ 196957),
441,Alonso Martínez, ,RW,NYCFC,24,$4808 (€ 4406 £ 3788),$249996 (€ 229097 £ 196954),
442,Njabulo Blom, ,DM,St. Louis,23,$4731 (€ 4335 £ 3727),$246000 (€ 225435 £ 193806),
443,Nkosi Tafari,us USA,DF,FC Dallas,25,$4630 (€ 4243 £ 3648),$240750 (€ 220624 £ 189670),
444,Ian Harkes,us USA,MF,NE Revolution,27,$4615 (€ 4230 £ 3636),$240000 (€ 219937 £ 189079),
445,José Fajardo, ,CF,D.C. United,30,$4615 (€ 4230 £ 3636),$240000 (€ 219937 £ 189079),
446,Ján Greguš,sk SVK,MF,Minnesota Utd,32,$4615 (€ 4230 £ 3636),$240000 (€ 219937 £ 189079),
447,Billy Sharp,eng ENG,FW,LA Galaxy,36,$4615 (€ 4230 £ 3636),$240000 (€ 219937 £ 189079),
448,Max,br BRA,MFFW,Colorado Rapids,21,$4462 (€ 4089 £ 3515),$232000 (€ 212606 £ 182776),
449,Alex Gersbach,au AUS,DFMF,Colorado Rapids,25,$4423 (€ 4053 £ 3485),$230000 (€ 210773 £ 181200),
450,Christian Makoun,ve VEN,DFMF,NE Revolution,22,$4327 (€ 3965 £ 3409),$225000 (€ 206191 £ 177261),
Rk
451,Willy Agada, ,CF,Sporting KC,23,$4327 (€ 3965 £ 3409),$225000 (€ 206191 £ 177261),
452,Dylan Nealis,us USA,DF,NY Red Bulls,24,$4327 (€ 3965 £ 3409),$225000 (€ 206191 £ 177261),
453,Sergi Palencia,es ESP,DF,LAFC,26,$4327 (€ 3965 £ 3409),$225000 (€ 206191 £ 177261),
454,Franco Negri,ar ARG,DF,Inter Miami,27,$4327 (€ 3965 £ 3409),$225000 (€ 206191 £ 177261),
455,Scott Caldwell,us USA,MF,Real Salt Lake,31,$4327 (€ 3965 £ 3409),$225000 (€ 206191 £ 177261),
456,Rasmus Alm, ,RW,St. Louis,28,$4231 (€ 3877 £ 3333),$220000 (€ 201609 £ 173322),
457,Carlos Gómez,co COL,MFFW,Real Salt Lake,20,$4231 (€ 3877 £ 3333),$220000 (€ 201609 £ 173322),
458,Christopher McVey,se SWE,DF,Inter Miami,25,$4231 (€ 3877 £ 3333),$219996 (€ 201605 £ 173319),
459,Nelson Quiñones,co COL,FWMF,Houston Dynamo,20,$4173 (€ 3824 £ 3288),$216996 (€ 198856 £ 170955),
460,Aboubacar Keita,us USA,CB,Colorado Rapids,23,$4135 (€ 3789 £ 3257),$215000 (€ 197027 £ 169383),
461,Mitja Ilenic, ,RB,NYCFC,18,$3923 (€ 3595 £ 3091),$204000 (€ 186947 £ 160717),
462,Thomas Hasal,ca CAN,GK,Vancouver W'caps,23,$3904 (€ 3578 £ 3076),$203000 (€ 186030 £ 159929),
463,Jonathan Klinsmann,us USA,GK,LA Galaxy,25,$3846 (€ 3525 £ 3030),$200004 (€ 183285 £ 157569),
464,Brian Gutiérrez,us USA,FWMF,Chicago Fire,19,$3846 (€ 3525 £ 3030),$200004 (€ 183285 £ 157569),
465,Eugene Ansah,gh GHA,FW,FC Dallas,28,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
466,Quentin Westberg,us USA,GK,Atlanta Utd,36,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
467,Henry Kessler,us USA,DF,NE Revolution,24,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
468,Danny Leyva,us USA,MF,Colorado Rapids,19,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
469,Donovan Pines,us USA,DF,D.C. United,24,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
470,Stefan Cleveland,us USA,GK,Seattle Sounders,28,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
471,Will Bruin,us USA,FW,Austin,33,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
472,Robbie Robinson,us USA,FWMF,Inter Miami,24,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
473,Marvin Loría,cr CRC,FWMF,Portland Timbers,25,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
474,Alec Kann,us USA,GK,FC Cincinnati,32,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
475,Erik Holt,us USA,DF,Real Salt Lake,26,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
Rk
476,Kei Kamara,sl SLE,FW,Chicago Fire,38,$3846 (€ 3525 £ 3030),$200000 (€ 183281 £ 157566),
477,Ethan Zubak,us USA,FW,Nashville SC,24,$3750 (€ 3437 £ 2954),$195000 (€ 178699 £ 153626),
478,Fredy Montero,co COL,FWMF,Seattle Sounders,35,$3750 (€ 3437 £ 2954),$195000 (€ 178699 £ 153626),
479,Tom Barlow,us USA,FW,NY Red Bulls,27,$3750 (€ 3437 £ 2954),$195000 (€ 178699 £ 153626),
480,Clint Irwin,us USA,GK,Minnesota Utd,33,$3654 (€ 3348 £ 2879),$190000 (€ 174117 £ 149687),
481,Alvas Powell,jm JAM,DF,FC Cincinnati,28,$3654 (€ 3348 £ 2879),$190000 (€ 174117 £ 149687),
482,Pablo Sisniega,mx MEX,GK,Charlotte,27,$3654 (€ 3348 £ 2879),$190000 (€ 174117 £ 149687),
483,Christopher Brady,us USA,GK,Chicago Fire,18,$3654 (€ 3348 £ 2879),$189996 (€ 174113 £ 149684),
484,Juan David Mosquera, ,RB,Portland Timbers,20,$3538 (€ 3243 £ 2788),$184000 (€ 168618 £ 144960),
485,Éric Davis, ,LB,D.C. United,32,$3462 (€ 3172 £ 2727),$180000 (€ 164953 £ 141809),
486,Memo Rodriguez,us USA,FWMF,Austin,27,$3462 (€ 3172 £ 2727),$180000 (€ 164953 £ 141809),
487,Paul Marie,fr FRA,DF,SJ Earthquakes,27,$3462 (€ 3172 £ 2727),$180000 (€ 164953 £ 141809),
488,Kevon Lambert, ,DM,Real Salt Lake,26,$3462 (€ 3172 £ 2727),$180000 (€ 164953 £ 141809),
489,Yohei Takaoka, ,GK,Vancouver W'caps,27,$3452 (€ 3164 £ 2720),$179520 (€ 164513 £ 141431),
490,Joe Bendik,us USA,GK,Philadelphia Union,33,$3365 (€ 3084 £ 2651),$175000 (€ 160371 £ 137870),
491,Felipe Hernandez,us USA,MF,Sporting KC,24,$3365 (€ 3084 £ 2651),$175000 (€ 160371 £ 137870),
492,Nick Hagglund,us USA,DF,FC Cincinnati,30,$3365 (€ 3084 £ 2651),$175000 (€ 160371 £ 137870),
493,Jesús Daniel Bueno,ve VEN,MF,Philadelphia Union,23,$3269 (€ 2996 £ 2576),$170000 (€ 155789 £ 133931),
494,Kervin Arriaga,hn HON,MF,Minnesota Utd,25,$3269 (€ 2996 £ 2576),$170000 (€ 155789 £ 133931),
495,Maikel Chang,cu CUB,MFFW,Real Salt Lake,31,$3269 (€ 2996 £ 2576),$170000 (€ 155789 £ 133931),
496,Wyatt Omsberg,us USA,DF,Chicago Fire,27,$3269 (€ 2996 £ 2576),$170000 (€ 155789 £ 133931),
497,Felipe Gutiérrez,cl CHI,MF,Sporting KC,32,$3173 (€ 2908 £ 2500),$165000 (€ 151207 £ 129992),
498,Kortne Ford,us USA,CB,Sporting KC,27,$3173 (€ 2908 £ 2500),$165000 (€ 151207 £ 129992),
499,Matt Freese,us USA,GK,NYCFC,24,$3101 (€ 2842 £ 2443),$161250 (€ 147770 £ 127037),
500,Omir Fernandez,us USA,MFFW,NY Red Bulls,23,$3096 (€ 2837 £ 2439),$161000 (€ 147541 £ 126840),
Rk
501,Jack McGlynn,us USA,MF,Philadelphia Union,19,$3077 (€ 2820 £ 2424),$160000 (€ 146625 £ 126052),
502,Nathan Harriel,us USA,DF,Philadelphia Union,21,$3077 (€ 2820 £ 2424),$160000 (€ 146625 £ 126052),
503,Dagur Dan Thórhallsson, ,CM,Orlando City,23,$3077 (€ 2820 £ 2424),$160000 (€ 146625 £ 126052),
504,Brent Kallman,us USA,DFFW,Minnesota Utd,32,$3077 (€ 2820 £ 2424),$160000 (€ 146625 £ 126052),
505,John Nelson,us USA,DF,St. Louis,24,$3077 (€ 2820 £ 2424),$160000 (€ 146625 £ 126052),
506,Jahkeele Marshall-Rutty,ca CAN,MFDF,Toronto FC,18,$2933 (€ 2688 £ 2310),$152500 (€ 139752 £ 120144),
507,Griffin Dorsey,us USA,DF,Houston Dynamo,23,$2885 (€ 2643 £ 2273),$150000 (€ 137461 £ 118174),
508,Jacob Shaffelburg,ca CAN,FWMF,Nashville SC,23,$2885 (€ 2643 £ 2273),$150000 (€ 137461 £ 118174),
509,Steven Beitashour,ir IRN,DF,Colorado Rapids,35,$2885 (€ 2643 £ 2273),$150000 (€ 137461 £ 118174),
510,Olwethu Makhanya, ,CB,Philadelphia Union,19,$2885 (€ 2643 £ 2273),$150000 (€ 137461 £ 118174),
511,John Pulskamp,us USA,GK,Sporting KC,21,$2885 (€ 2643 £ 2273),$150000 (€ 137461 £ 118174),
512,Justin Haak,us USA,DFMF,NYCFC,21,$2885 (€ 2643 £ 2273),$150000 (€ 137461 £ 118174),
513,Sebastian Berhalter,us USA,MF,Vancouver W'caps,21,$2885 (€ 2643 £ 2273),$150000 (€ 137461 £ 118174),
514,Nökkvi Thórisson, ,LW,St. Louis,24,$2885 (€ 2643 £ 2273),$150000 (€ 137461 £ 118174),
515,Casey Walls,us USA,CB,SJ Earthquakes,20,$2885 (€ 2643 £ 2273),$150000 (€ 137461 £ 118174),
516,Dixon Arroyo, ,DM,Inter Miami,31,$2885 (€ 2643 £ 2273),$150000 (€ 137461 £ 118174),
517,Edwin Cerrillo,us USA,MF,LA Galaxy,22,$2875 (€ 2635 £ 2265),$149500 (€ 137002 £ 117780),
518,Mamadou Fall,sn SEN,DF,LAFC,20,$2865 (€ 2626 £ 2257),$149000 (€ 136544 £ 117386),
519,Luis Barraza,us USA,GK,NYCFC,26,$2788 (€ 2555 £ 2197),$145000 (€ 132879 £ 114235),
520,Matthew Real,us USA,DFMF,Philadelphia Union,23,$2692 (€ 2467 £ 2121),$140000 (€ 128297 £ 110296),
521,Javain Brown,jm JAM,DF,Vancouver W'caps,23,$2692 (€ 2467 £ 2121),$140000 (€ 128297 £ 110296),
522,Cameron Duke,us USA,DF,Sporting KC,21,$2644 (€ 2423 £ 2083),$137500 (€ 126006 £ 108326),
523,Miguel Berry,es ESP,FW,Atlanta Utd,25,$2596 (€ 2379 £ 2045),$135000 (€ 123715 £ 106357),
524,Spencer Richey,us USA,GK,Chicago Fire,30,$2538 (€ 2326 £ 2000),$132000 (€ 120965 £ 103993),
525,Juan Mina, ,RB,NY Red Bulls,19,$2519 (€ 2309 £ 1985),$131000 (€ 120049 £ 103205),
Rk
526,Liam Fraser,ca CAN,MF,FC Dallas,24,$2500 (€ 2291 £ 1970),$130000 (€ 119133 £ 102418),
527,Mason Stajduhar,us USA,GK,Orlando City,25,$2500 (€ 2291 £ 1970),$130000 (€ 119133 £ 102418),
528,Kendall McIntosh,us USA,GK,Sporting KC,29,$2500 (€ 2291 £ 1970),$130000 (€ 119133 £ 102418),
529,Benjamin Kikanovic,us USA,FWMF,SJ Earthquakes,23,$2500 (€ 2291 £ 1970),$130000 (€ 119133 £ 102418),
530,Emmanuel Ochoa, ,GK,SJ Earthquakes,18,$2500 (€ 2291 £ 1970),$130000 (€ 119133 £ 102418),
531,Zac McGraw,ca CAN,DF,Portland Timbers,25,$2500 (€ 2291 £ 1970),$130000 (€ 119133 £ 102418),
532,Ethan Bartlow,us USA,DF,Houston Dynamo,22,$2404 (€ 2203 £ 1894),$125000 (€ 114551 £ 98478),
533,Earl Edwards Jr.,us USA,GK,NE Revolution,31,$2404 (€ 2203 £ 1894),$125000 (€ 114551 £ 98478),
534,Justin Rennicks,us USA,FWMF,NE Revolution,23,$2404 (€ 2203 £ 1894),$125000 (€ 114551 £ 98478),
535,Michael Edwards,us USA,DF,Colorado Rapids,22,$2404 (€ 2203 £ 1894),$125000 (€ 114551 £ 98478),
536,Andrew Thomas,ru RUS,GK,Seattle Sounders,24,$2404 (€ 2203 £ 1894),$125000 (€ 114551 £ 98478),
537,Andres Jasson,us USA,FW,NYCFC,21,$2404 (€ 2203 £ 1894),$125000 (€ 114551 £ 98478),
538,Antonio Leone,mx MEX,DF,LAFC,18,$2404 (€ 2203 £ 1894),$125000 (€ 114551 £ 98478),
539,Erik Duenas,us USA,MFDF,LAFC,18,$2404 (€ 2203 £ 1894),$125000 (€ 114551 £ 98478),
540,Matt Bersano,us USA,GK,Austin,30,$2404 (€ 2203 £ 1894),$125000 (€ 114551 £ 98478),
541,Jalen Neal,us USA,DF,LA Galaxy,19,$2404 (€ 2203 £ 1894),$125000 (€ 114551 £ 98478),
542,Marcus Ferkranus,us USA,CB,LA Galaxy,20,$2404 (€ 2203 £ 1894),$125000 (€ 114551 £ 98478),
543,Micael,br BRA,DF,Houston Dynamo,22,$2308 (€ 2115 £ 1818),$120000 (€ 109969 £ 94539),
544,Tomas Romero,sv SLV,GK,Toronto FC,22,$2308 (€ 2115 £ 1818),$120000 (€ 109969 £ 94539),
545,Tyler Wolff,us USA,FWMF,Atlanta Utd,19,$2308 (€ 2115 £ 1818),$120000 (€ 109969 £ 94539),
546,Sebastian Anderson,us USA,DF,Colorado Rapids,20,$2308 (€ 2115 £ 1818),$120000 (€ 109969 £ 94539),
547,Quinn Sullivan,us USA,FWMF,Philadelphia Union,18,$2308 (€ 2115 £ 1818),$120000 (€ 109969 £ 94539),
548,Ronald Donkor, ,LM,NY Red Bulls,18,$2308 (€ 2115 £ 1818),$120000 (€ 109969 £ 94539),
549,Ryan Raposo,ca CAN,DFFW,Vancouver W'caps,23,$2308 (€ 2115 £ 1818),$120000 (€ 109969 £ 94539),
550,Eric Miller,us USA,DF,Portland Timbers,30,$2308 (€ 2115 £ 1818),$120000 (€ 109969 £ 94539),
Rk
551,Felipe Mora,cl CHI,FW,Portland Timbers,29,$2308 (€ 2115 £ 1818),$120000 (€ 109969 £ 94539),
552,Tony Alfaro,us USA,DF,LA Galaxy,29,$2308 (€ 2115 £ 1818),$120000 (€ 109969 £ 94539),
553,Diego Luna, ,AM,Real Salt Lake,19,$2308 (€ 2115 £ 1818),$120000 (€ 109969 £ 94539),
554,John McCarthy,us USA,GK,LAFC,30,$2212 (€ 2027 £ 1742),$115000 (€ 105387 £ 90600),
555,Brandan Craig,us USA,DF,Austin,18,$2212 (€ 2027 £ 1742),$115000 (€ 105387 £ 90600),
556,Tommy Thompson,us USA,MFDF,SJ Earthquakes,27,$2212 (€ 2027 £ 1742),$115000 (€ 105387 £ 90600),
557,Moses Nyeman,us USA,MF,Real Salt Lake,19,$2212 (€ 2027 £ 1742),$115000 (€ 105387 £ 90600),
558,Zack Farnsworth, ,LB,Real Salt Lake,21,$2212 (€ 2027 £ 1742),$115000 (€ 105387 £ 90600),
559,Christian Torres,mx MEX,FW,LAFC,18,$2163 (€ 1983 £ 1704),$112500 (€ 103095 £ 88631),
560,Luís Caicedo,co COL,MF,Houston Dynamo,26,$2115 (€ 1939 £ 1667),$110000 (€ 100804 £ 86661),
561,Michael Halliday,us USA,DF,Orlando City,20,$2115 (€ 1939 £ 1667),$110000 (€ 100804 £ 86661),
562,Ian Fray,us USA,DFMF,Inter Miami,20,$2115 (€ 1939 £ 1667),$110000 (€ 100804 £ 86661),
563,Julian Gaines,us USA,DF,LAFC,20,$2000 (€ 1833 £ 1576),$104004 (€ 95310 £ 81937),
564,Ethan Dobbelaere,us USA,FW,Seattle Sounders,20,$2000 (€ 1833 £ 1576),$104000 (€ 95306 £ 81934),
565,Bode Davis,us USA,DF,Real Salt Lake,20,$2000 (€ 1833 £ 1576),$104000 (€ 95306 £ 81934),
566,Calvin Harris,eng ENG,FW,Colorado Rapids,22,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
567,Yamil Asad,ar ARG,MFFW,D.C. United,28,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
568,Eldin Jakupović,ch SUI,GK,LAFC,38,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
569,Mikael Marqués, ,CB,Minnesota Utd,21,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
570,Daniel Pereira,ve VEN,MF,Austin,22,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
571,Kipp Keller,us USA,DF,Austin,22,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
572,Owen Wolff,us USA,MF,Austin,18,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
573,Benjamin Lundt,de GER,GK,St. Louis,27,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
574,Ousseni Bouda,bf BFA,FWMF,SJ Earthquakes,22,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
575,Mauricio Cuevas, ,RB,LA Galaxy,20,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
Rk
576,Roman Celentano,us USA,GK,FC Cincinnati,22,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
577,McKinze Gaines, ,RW,Charlotte,25,$1923 (€ 1762 £ 1515),$100000 (€ 91640 £ 78783),
578,Taylor Washington,us USA,DFMF,Nashville SC,29,$1898 (€ 1739 £ 1495),$98688 (€ 90438 £ 77749),
579,Daniel Musovski,us USA,FW,Real Salt Lake,27,$1898 (€ 1739 £ 1495),$98687 (€ 90437 £ 77748),
580,D.J. Taylor,us USA,DF,Minnesota Utd,25,$1890 (€ 1732 £ 1489),$98261 (€ 90047 £ 77413),
581,Jasper Löffelsend, ,CM,Real Salt Lake,26,$1858 (€ 1702 £ 1464),$96600 (€ 88525 £ 76104),
582,Greg Ranjitsingh,tt TRI,GK,Toronto FC,29,$1827 (€ 1674 £ 1439),$95000 (€ 87058 £ 74844),
583,Anton Sorenson, ,LB,Philadelphia Union,20,$1827 (€ 1674 £ 1439),$95000 (€ 87058 £ 74844),
584,Adam Saldaña,us USA,MF,LA Galaxy,20,$1807 (€ 1656 £ 1424),$93989 (€ 86132 £ 74047),
585,Joshua Atencio,us USA,MF,Seattle Sounders,21,$1777 (€ 1628 £ 1400),$92400 (€ 84676 £ 72795),
586,Machop Malual,ss SSD,FWMF,Atlanta Utd,24,$1725 (€ 1581 £ 1359),$89716 (€ 82216 £ 70681),
587,Elliot Panicco,us USA,GK,Nashville SC,26,$1725 (€ 1581 £ 1359),$89716 (€ 82216 £ 70681),
588,Josh Bauer,us USA,DF,Nashville SC,24,$1725 (€ 1581 £ 1359),$89716 (€ 82216 £ 70681),
589,Ralph Priso-Mbongue,ca CAN,MF,Colorado Rapids,20,$1725 (€ 1581 £ 1359),$89716 (€ 82216 £ 70681),
590,Jacob Greene,us USA,DF,D.C. United,19,$1725 (€ 1581 £ 1359),$89716 (€ 82216 £ 70681),
591,Karifa Yao,ca CAN,MF,Vancouver W'caps,22,$1725 (€ 1581 £ 1359),$89716 (€ 82216 £ 70681),
592,Tega Ikoba,us USA,FW,Portland Timbers,19,$1725 (€ 1581 £ 1359),$89716 (€ 82216 £ 70681),
593,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,37,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
594,Luke Haakenson,us USA,MFFW,Nashville SC,25,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
595,Damien Rivera,cr CRC,FWMF,NE Revolution,20,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
596,Abraham Rodriguez,us USA,GK,Colorado Rapids,20,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
597,Hassan Ndam,cm CMR,DF,NY Red Bulls,24,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
598,Matthew Nocita, ,CB,NY Red Bulls,23,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
599,Jared Stroud,us USA,MFFW,St. Louis,26,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
600,Jon Bell,jm JAM,DF,St. Louis,25,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
Rk
601,Jack Skahan,us USA,FWMF,SJ Earthquakes,24,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
602,Evan Louro,us USA,GK,FC Cincinnati,27,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
603,Kendall Burks,us USA,DFMF,Chicago Fire,23,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
604,Brady Scott,us USA,GK,Columbus Crew,24,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
605,Evan Bush,us USA,GK,Columbus Crew,36,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
606,Patrick Schulte,us USA,GK,Columbus Crew,21,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
607,Sean Zawadzki,us USA,DFMF,Columbus Crew,22,$1696 (€ 1554 £ 1336),$88200 (€ 80827 £ 69486),
608,Brooklyn Raines,us USA,MFFW,Houston Dynamo,17,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
609,Ifunanyachi Achara,us USA,CF,Houston Dynamo,25,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
610,Sebastian Kowalczyk, ,AM,Houston Dynamo,24,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
611,Tate Schmitt,us USA,DF,Houston Dynamo,25,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
612,Þorleifur Úlfarsson,is ISL,FWMF,Houston Dynamo,22,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
613,Xavier Valdez, ,GK,Houston Dynamo,19,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
614,Aimé Mabika,zm ZAM,DF,Toronto FC,24,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
615,Deandre Kerr,ca CAN,FWMF,Toronto FC,20,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
616,Kosi Thompson,ca CAN,MFFW,Toronto FC,20,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
617,Amet Korca, ,CB,FC Dallas,22,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
618,Antonio Carrera,us USA,GK,FC Dallas,19,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
619,Bernard Kamungo,us USA,FWMF,FC Dallas,21,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
620,José Mulato,co COL,FWMF,FC Dallas,20,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
621,Sam Junqua,us USA,DFMF,FC Dallas,26,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
622,Tsiki Ntsabeleng,za RSA,MFFW,FC Dallas,24,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
623,Amar Sejdic,us USA,MF,Atlanta Utd,26,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
624,Caleb Wiley,us USA,DFFW,Atlanta Utd,18,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
625,Clément Diop,sn SEN,GK,Atlanta Utd,29,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
Rk
626,Laurence Wyke, ,CB,Nashville SC,26,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
627,Lukas MacNaughton,ca CAN,DF,Nashville SC,27,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
628,Emmanuel Boateng,gh GHA,FWMF,NE Revolution,29,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
629,Esmir Bajraktarevic, ,RW,NE Revolution,18,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
630,Maciel,br BRA,CM,NE Revolution,23,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
631,Ryan Spaulding,us USA,DF,NE Revolution,24,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
632,Darren Yapi,us USA,FWMF,Colorado Rapids,18,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
633,Oliver Larraz,us USA,MF,Colorado Rapids,21,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
634,Alex Bono,us USA,GK,D.C. United,28,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
635,Erik Hurtado,us USA,FWMF,D.C. United,32,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
636,Gaoussou Samaké,ci CIV,MFDF,D.C. United,25,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
637,Hayden Sargis,us USA,DF,D.C. United,20,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
638,Jackson Hopkins,us USA,MF,D.C. United,18,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
639,Kristian Fletcher,us USA,FWMF,D.C. United,17,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
640,Luis Zamudio,us USA,GK,D.C. United,24,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
641,Theodore Ku-Dipietro,us USA,FWMF,D.C. United,21,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
642,Jeremy Rafanello, ,AM,Philadelphia Union,23,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
643,Adam Grinwis,us USA,GK,Orlando City,30,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
644,Felipe,br BRA,MF,Orlando City,32,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
645,Luca Petrasso,ca CAN,DFFW,Orlando City,22,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
646,Shak Mohammed, ,RW,Orlando City,19,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
647,Thomas Williams,us USA,DF,Orlando City,18,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
648,Wilfredo Rivera,pr PUR,FW,Orlando City,19,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
649,Jake Davis,us USA,DF,Sporting KC,21,$1643 (€ 1506 £ 1295),$85444 (€ 78301 £ 67315),
