ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
40,Cristian Arango,co COL,FWMF,Real Salt Lake,28,$36538 (€ 34701 £ 28603),$1899996 (€ 1804470 £ 1487360),
41,Cristian Espinoza,ar ARG,FWMF,SJ Earthquakes,28,$35000 (€ 33240 £ 27399),$1820000 (€ 1728496 £ 1424737),
42,Petar Musa,hr CRO,FW,FC Dallas,25,$34615 (€ 32875 £ 27098),$1800000 (€ 1709502 £ 1409081),
43,Mikael Uhre,dk DEN,FW,Philadelphia Union,29,$34615 (€ 32875 £ 27098),$1800000 (€ 1709502 £ 1409081),
44,Marcel Hartel,de GER,MFFW,St. Louis,28,$34569 (€ 32831 £ 27062),$1797600 (€ 1707222 £ 1407202),
45,Jonathan Rodríguez,uy URU,FW,Portland Timbers,30,$34135 (€ 32418 £ 26721),$1775000 (€ 1685758 £ 1389510),
46,Giacomo Vrioni,al ALB,FW,NE Revolution,25,$32692 (€ 31049 £ 25592),$1700000 (€ 1614529 £ 1330798),
47,Jordan Morris,us USA,FW,Seattle Sounders,29,$32380 (€ 30752 £ 25348),$1683750 (€ 1599096 £ 1318077),
48,Gabriel Pec, ,RW,LA Galaxy,23,$32308 (€ 30683 £ 25291),$1680000 (€ 1595535 £ 1315142),
49,Diogo Gonçalves,pt POR,MFFW,Real Salt Lake,26,$31731 (€ 30135 £ 24840),$1650000 (€ 1567043 £ 1291657),
50,Dániel Gazdag,hu HUN,MFFW,Philadelphia Union,27,$30769 (€ 29222 £ 24087),$1600000 (€ 1519557 £ 1252516),
Rk
51,Lewis O'Brien,eng ENG,MF,LAFC,25,$30769 (€ 29222 £ 24087),$1600000 (€ 1519557 £ 1252516),
52,Gastón Giménez,py PAR,MF,Chicago Fire,32,$30769 (€ 29222 £ 24087),$1600000 (€ 1519557 £ 1252516),
53,Facundo Torres,uy URU,FWMF,Orlando City,23,$30000 (€ 28492 £ 23485),$1560000 (€ 1481568 £ 1221203),
54,Paul Arriola,us USA,DFMF,FC Dallas,28,$29808 (€ 28309 £ 23334),$1550000 (€ 1472071 £ 1213375),
55,Alexander Ring,fi FIN,MF,Austin,32,$29327 (€ 27852 £ 22958),$1525000 (€ 1448328 £ 1193804),
56,Roman Bürki,ch SUI,GK,St. Louis,33,$29327 (€ 27852 £ 22958),$1525000 (€ 1448328 £ 1193804),
57,Matt Miazga,us USA,DF,FC Cincinnati,28,$29327 (€ 27852 £ 22958),$1525000 (€ 1448328 £ 1193804),
58,Robin Lod,fi FIN,MFFW,Minnesota Utd,30,$28846 (€ 27396 £ 22581),$1500000 (€ 1424585 £ 1174234),
59,Luis Suárez,uy URU,FW,Inter Miami,37,$28846 (€ 27396 £ 22581),$1500000 (€ 1424585 £ 1174234),
60,Carlos Gruezo,ec ECU,MF,SJ Earthquakes,28,$28077 (€ 26665 £ 21979),$1460000 (€ 1386596 £ 1142921),
61,Nemanja Radoja,rs SRB,MF,Sporting KC,30,$27692 (€ 26300 £ 21678),$1440000 (€ 1367601 £ 1127264),
62,Miles Robinson,us USA,DF,FC Cincinnati,26,$27535 (€ 26151 £ 21555),$1431820 (€ 1359832 £ 1120861),
63,Cristian Roldan,us USA,MFFW,Seattle Sounders,28,$27308 (€ 25935 £ 21377),$1420000 (€ 1348607 £ 1111608),
64,Darlington Nagbe,us USA,MF,Columbus Crew,33,$26923 (€ 25569 £ 21076),$1400000 (€ 1329612 £ 1095952),
65,João Paulo Mior,br BRA,MF,Seattle Sounders,32,$26923 (€ 25569 £ 21076),$1400000 (€ 1329612 £ 1095952),
66,Hannes Wolf,at AUT,FWMF,NYCFC,24,$26923 (€ 25569 £ 21076),$1400000 (€ 1329612 £ 1095952),
67,Kellyn Acosta,us USA,MF,Chicago Fire,28,$26773 (€ 25427 £ 20958),$1392188 (€ 1322193 £ 1089836),
68,Rafael Navarro,br BRA,FW,Colorado Rapids,23,$26769 (€ 25423 £ 20956),$1392000 (€ 1322014 £ 1089689),
69,Djordje Mihailovic,us USA,MF,Colorado Rapids,25,$25962 (€ 24656 £ 20323),$1350000 (€ 1282126 £ 1056810),
70,Dante Vanzeir,be BEL,FW,NY Red Bulls,25,$25962 (€ 24656 £ 20323),$1350000 (€ 1282126 £ 1056810),
71,Marlon,br BRA,DF,LAFC,28,$25962 (€ 24656 £ 20323),$1350000 (€ 1282126 £ 1056810),
72,Obinna Nwobodo,ng NGA,MF,FC Cincinnati,27,$25192 (€ 23926 £ 19721),$1310000 (€ 1244137 £ 1025498),
73,Dániel Sallói,hu HUN,FW,Sporting KC,27,$25000 (€ 23743 £ 19571),$1300000 (€ 1234640 £ 1017669),
74,Rafael Czichos,de GER,DF,Chicago Fire,33,$25000 (€ 23743 £ 19571),$1300000 (€ 1234640 £ 1017669),
75,Felipe Mora,cl CHI,FW,Portland Timbers,30,$24519 (€ 23286 £ 19194),$1275000 (€ 1210897 £ 998099),
Rk
76,Ilie Sánchez,es ESP,MF,LAFC,33,$24382 (€ 23156 £ 19087),$1267875 (€ 1204130 £ 992521),
77,Aaron Long,us USA,DF,LAFC,31,$24226 (€ 23008 £ 18965),$1259760 (€ 1196423 £ 986169),
78,Alan Velasco,ar ARG,FWMF,FC Dallas,21,$24038 (€ 22830 £ 18818),$1250000 (€ 1187154 £ 978528),
79,Lewis Morgan,sct SCO,FWMF,NY Red Bulls,27,$24038 (€ 22830 £ 18818),$1250000 (€ 1187154 £ 978528),
80,Jordi Alba,es ESP,DF,Inter Miami,34,$24038 (€ 22830 £ 18818),$1250000 (€ 1187154 £ 978528),
81,Diego Fagúndez,uy URU,FWMF,LA Galaxy,28,$24038 (€ 22830 £ 18818),$1250000 (€ 1187154 £ 978528),
82,Klauss,br BRA,FW,St. Louis,26,$23654 (€ 22465 £ 18517),$1230000 (€ 1168159 £ 962872),
83,Kelvin Yeboah,it ITA,FW,Minnesota Utd,23,$23558 (€ 22373 £ 18442),$1225000 (€ 1163411 £ 958958),
84,Santiago Rodríguez,uy URU,FWMF,NYCFC,24,$23077 (€ 21917 £ 18065),$1200000 (€ 1139668 £ 939387),
85,Eduard Löwen,de GER,MF,St. Louis,27,$23077 (€ 21917 £ 18065),$1200000 (€ 1139668 £ 939387),
86,Gastón Brugman,uy URU,MF,LA Galaxy,31,$23077 (€ 21917 £ 18065),$1200000 (€ 1139668 £ 939387),
87,Andreas Maxsø,dk DEN,DF,Colorado Rapids,29,$22115 (€ 21004 £ 17312),$1150000 (€ 1092182 £ 900246),
88,Justen Glad,us USA,DF,Real Salt Lake,26,$22115 (€ 21004 £ 17312),$1150000 (€ 1092182 £ 900246),
89,Joakim Nilsson,se SWE,DF,St. Louis,29,$21827 (€ 20730 £ 17087),$1135000 (€ 1077936 £ 888504),
90,Martín Rodríguez,cl CHI,MF,D.C. United,29,$21154 (€ 20090 £ 16560),$1100000 (€ 1044695 £ 861105),
91,Julian Gressel,us USA,MFFW,Inter Miami,30,$21001 (€ 19945 £ 16440),$1092069 (€ 1037163 £ 854896),
92,Chidozie Awaziem,ng NGA,DF,FC Cincinnati,27,$20769 (€ 19725 £ 16259),$1080000 (€ 1025701 £ 845448),
93,Andrés Cubas,py PAR,MF,Vancouver W'caps,27,$20192 (€ 19177 £ 15807),$1050000 (€ 997209 £ 821964),
94,Felipe Carballo, ,CM,NY Red Bulls,27,$19615 (€ 18629 £ 15355),$1020000 (€ 968718 £ 798479),
95,Stian Rode Gregersen,no NOR,DF,Atlanta Utd,28,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
96,Randall Leal,cr CRC,MF,Nashville SC,27,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
97,Tim Parker,us USA,DF,NE Revolution,30,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
98,Jakob Glesnes,no NOR,DF,Philadelphia Union,29,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
99,Erik Thommy,de GER,MFFW,Sporting KC,29,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
100,Joaquín Fernández,es ESP,DF,Sporting KC,27,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
Rk
101,Johnny Russell,sct SCO,FW,Sporting KC,33,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
102,James Sands,us USA,MF,NYCFC,23,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
103,Gyasi Zardes,us USA,FW,Austin,32,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
104,Osman Bukari,gh GHA,FWMF,Austin,25,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
105,Henry Kessler,us USA,DF,St. Louis,25,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
106,Bruno Wilson,pt POR,DF,SJ Earthquakes,27,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
107,Matt Crooks,eng ENG,MF,Real Salt Lake,30,$19231 (€ 18264 £ 15054),$1000000 (€ 949723 £ 782823),
108,Richie Laryea,ca CAN,DFMF,Toronto FC,29,$19038 (€ 18081 £ 14904),$990000 (€ 940226 £ 774994),
109,Marco Reus,de GER,MF,LA Galaxy,34,$18462 (€ 17533 £ 14452),$960000 (€ 911734 £ 751510),
110,Paxton Pomykal,us USA,MF,FC Dallas,24,$18269 (€ 17351 £ 14302),$950000 (€ 902237 £ 743681),
111,Tomás Chancalay,ar ARG,FW,NE Revolution,25,$18269 (€ 17351 £ 14302),$950000 (€ 902237 £ 743681),
112,Cedric Teuchert,de GER,MFFW,St. Louis,27,$18269 (€ 17351 £ 14302),$950000 (€ 902237 £ 743681),
113,Sean Davis,us USA,MF,Nashville SC,30,$17500 (€ 16620 £ 13699),$910000 (€ 864248 £ 712369),
114,Saba Lobjanidze, ,LW,Atlanta Utd,29,$17308 (€ 16438 £ 13549),$900000 (€ 854751 £ 704540),
115,Zack Steffen,us USA,GK,Colorado Rapids,28,$17308 (€ 16438 £ 13549),$900000 (€ 854751 £ 704540),
116,Cristián Dajome,co COL,DFFW,D.C. United,30,$17308 (€ 16438 £ 13549),$900000 (€ 854751 £ 704540),
117,Martín Ojeda,ar ARG,MFFW,Orlando City,25,$17308 (€ 16438 £ 13549),$900000 (€ 854751 £ 704540),
118,Rémi Walter,fr FRA,MF,Sporting KC,28,$17308 (€ 16438 £ 13549),$900000 (€ 854751 £ 704540),
119,Keaton Parks,us USA,MF,NYCFC,26,$17308 (€ 16438 £ 13549),$900000 (€ 854751 £ 704540),
120,Alessandro Schöpf,at AUT,MFDF,Vancouver W'caps,29,$17308 (€ 16438 £ 13549),$900000 (€ 854751 £ 704540),
121,Jackson Yueill,us USA,MF,SJ Earthquakes,26,$17308 (€ 16438 £ 13549),$900000 (€ 854751 £ 704540),
122,Kai Wagner,de GER,DF,Philadelphia Union,26,$16827 (€ 15981 £ 13173),$875000 (€ 831008 £ 684970),
123,Jeremy Ebobisse,us USA,FW,SJ Earthquakes,26,$16528 (€ 15697 £ 12939),$859478 (€ 816266 £ 672819),
124,Cole Bassett,us USA,MFFW,Colorado Rapids,22,$16346 (€ 15524 £ 12796),$850000 (€ 807265 £ 665399),
125,Sam Vines,us USA,DF,Colorado Rapids,24,$16346 (€ 15524 £ 12796),$850000 (€ 807265 £ 665399),
Rk
126,Robin Jansson,se SWE,DF,Orlando City,32,$16346 (€ 15524 £ 12796),$850000 (€ 807265 £ 665399),
127,Amahl Pellegrino, ,LW,SJ Earthquakes,34,$16346 (€ 15524 £ 12796),$850000 (€ 807265 £ 665399),
128,Hernán López, ,AM,SJ Earthquakes,23,$16346 (€ 15524 £ 12796),$850000 (€ 807265 £ 665399),
129,DeAndre Yedlin,us USA,DF,FC Cincinnati,30,$16346 (€ 15524 £ 12796),$850000 (€ 807265 £ 665399),
130,Duncan McGuire, ,CF,Orlando City,23,$15865 (€ 15068 £ 12420),$825000 (€ 783522 £ 645829),
131,Sam Adekugbe,ca CAN,DFMF,Vancouver W'caps,29,$15865 (€ 15068 £ 12420),$825000 (€ 783522 £ 645829),
132,Pablo Ruíz,ar ARG,MFFW,Real Salt Lake,25,$15865 (€ 15068 £ 12420),$825000 (€ 783522 £ 645829),
133,Brian Gutiérrez,us USA,MFFW,Chicago Fire,20,$15450 (€ 14673 £ 12095),$803409 (€ 763016 £ 628927),
134,Shaq Moore,us USA,DF,Nashville SC,27,$15385 (€ 14611 £ 12043),$800000 (€ 759778 £ 626258),
135,Alhassan Yusuf,ng NGA,MF,NE Revolution,23,$15385 (€ 14611 £ 12043),$800000 (€ 759778 £ 626258),
136,Andre Blake,jm JAM,GK,Philadelphia Union,33,$15385 (€ 14611 £ 12043),$800000 (€ 759778 £ 626258),
137,Jack Elliott,eng ENG,DF,Philadelphia Union,28,$15385 (€ 14611 £ 12043),$800000 (€ 759778 £ 626258),
138,Nicolás Lodeiro,uy URU,MFFW,Orlando City,34,$15385 (€ 14611 £ 12043),$800000 (€ 759778 £ 626258),
139,Pedro Gallese,pe PER,GK,Orlando City,33,$15385 (€ 14611 £ 12043),$800000 (€ 759778 £ 626258),
140,Steven Moreira,cv CPV,DF,Columbus Crew,29,$15385 (€ 14611 £ 12043),$800000 (€ 759778 £ 626258),
141,Mathías Laborda, ,CB,Vancouver W'caps,24,$15385 (€ 14611 £ 12043),$800000 (€ 759778 £ 626258),
142,Sergio Santos Gomes,br BRA,FW,FC Cincinnati,29,$15385 (€ 14611 £ 12043),$800000 (€ 759778 £ 626258),
143,Marky Delgado,us USA,MF,LA Galaxy,28,$15385 (€ 14611 £ 12043),$800000 (€ 759778 £ 626258),
144,Maya Yoshida,jp JPN,DF,LA Galaxy,35,$15385 (€ 14611 £ 12043),$800000 (€ 759778 £ 626258),
145,Jonathan Osorio,ca CAN,MFFW,Toronto FC,31,$15155 (€ 14393 £ 11863),$788036 (€ 748416 £ 616892),
146,DeJuan Jones,us USA,DF,Columbus Crew,26,$15135 (€ 14374 £ 11848),$786996 (€ 747428 £ 616078),
147,Pedro De la Vega,ar ARG,FWMF,Seattle Sounders,22,$15096 (€ 14337 £ 11818),$785000 (€ 745533 £ 614516),
148,Xavier Arreaga,ec ECU,DF,NE Revolution,29,$14904 (€ 14155 £ 11667),$775000 (€ 736035 £ 606687),
149,Erik Sviatchenko, ,CB,Houston Dynamo,32,$14904 (€ 14154 £ 11667),$774996 (€ 736032 £ 606684),
150,Tyler Boyd,us USA,FWMF,Nashville SC,29,$14808 (€ 14063 £ 11592),$770000 (€ 731287 £ 602773),
Rk
151,Brian White,us USA,FW,Vancouver W'caps,27,$14510 (€ 13780 £ 11358),$754500 (€ 716566 £ 590640),
152,Sigurd Rosted,no NOR,DF,Toronto FC,29,$14423 (€ 13698 £ 11291),$750000 (€ 712292 £ 587117),
153,Sebastian Lletget,us USA,MF,FC Dallas,31,$14423 (€ 13698 £ 11291),$750000 (€ 712292 £ 587117),
154,Mark-Anthony Kaye,ca CAN,MF,NE Revolution,29,$14423 (€ 13698 £ 11291),$750000 (€ 712292 £ 587117),
155,Aaron Herrera,gt GUA,DF,D.C. United,26,$14423 (€ 13698 £ 11291),$750000 (€ 712292 £ 587117),
156,Yeimar Gómez Andrade,co COL,DF,Seattle Sounders,31,$14423 (€ 13698 £ 11291),$750000 (€ 712292 £ 587117),
157,Tristan Blackmon,us USA,DF,Vancouver W'caps,27,$14423 (€ 13698 £ 11291),$750000 (€ 712292 £ 587117),
158,Serhiy Kryvtsov,ua UKR,DF,Inter Miami,32,$14423 (€ 13698 £ 11291),$750000 (€ 712292 £ 587117),
159,Ashley Westwood,eng ENG,MF,Charlotte,33,$14423 (€ 13698 £ 11291),$750000 (€ 712292 £ 587117),
160,Anderson Julio,ec ECU,FWMF,Real Salt Lake,27,$14423 (€ 13698 £ 11291),$750000 (€ 712292 £ 587117),
161,Kamal Miller,ca CAN,DF,Portland Timbers,26,$14279 (€ 13561 £ 11178),$742500 (€ 705169 £ 581246),
162,Brooks Lennon,us USA,DFMF,Atlanta Utd,26,$14231 (€ 13515 £ 11140),$740000 (€ 702795 £ 579289),
163,Dario Župarić,ba BIH,DF,Portland Timbers,31,$14135 (€ 13424 £ 11065),$735000 (€ 698046 £ 575375),
164,Luis Abram,pe PER,DF,Atlanta Utd,27,$14082 (€ 13374 £ 11024),$732275 (€ 695458 £ 573241),
165,Miguel Tapias,mx MEX,DF,Minnesota Utd,27,$13942 (€ 13241 £ 10914),$725000 (€ 688549 £ 567546),
166,Derrick Etienne,ht HAI,MFFW,Toronto FC,27,$13655 (€ 12969 £ 10689),$710062 (€ 674362 £ 555853),
167,Artur,br BRA,MF,Houston Dynamo,27,$13462 (€ 12785 £ 10538),$700000 (€ 664806 £ 547976),
168,Prince Osei Owusu,de GER,FW,Toronto FC,27,$13462 (€ 12785 £ 10538),$700000 (€ 664806 £ 547976),
169,Jack Maher,us USA,DF,Nashville SC,24,$13462 (€ 12785 £ 10538),$700000 (€ 664806 £ 547976),
170,Khiry Shelton,us USA,DF,Sporting KC,30,$13462 (€ 12785 £ 10538),$700000 (€ 664806 £ 547976),
171,Julio Cascante,cr CRC,DF,Austin,30,$13462 (€ 12785 £ 10538),$700000 (€ 664806 £ 547976),
172,Tomáš Ostrák,cz CZE,MF,St. Louis,23,$13462 (€ 12785 £ 10538),$700000 (€ 664806 £ 547976),
173,Eduard Atuesta,co COL,MF,LAFC,26,$13263 (€ 12597 £ 10383),$689700 (€ 655024 £ 539913),
174,Andrew Farrell,us USA,DFMF,NE Revolution,31,$13149 (€ 12488 £ 10293),$683750 (€ 649373 £ 535255),
175,Dejan Joveljić,rs SRB,FW,LA Galaxy,24,$13149 (€ 12488 £ 10293),$683750 (€ 649373 £ 535255),
Rk
176,Matti Peltola, ,DM,D.C. United,22,$13112 (€ 12453 £ 10264),$681818 (€ 647538 £ 533742),
177,Cristian Olivera,uy URU,FWMF,LAFC,21,$13077 (€ 12419 £ 10237),$680000 (€ 645812 £ 532319),
178,Raoul Petretta,it ITA,DF,Toronto FC,26,$12981 (€ 12328 £ 10162),$675000 (€ 641063 £ 528405),
179,David Romney,us USA,DF,NE Revolution,30,$12981 (€ 12328 £ 10162),$675000 (€ 641063 £ 528405),
180,César Araujo,uy URU,MF,Orlando City,22,$12981 (€ 12328 £ 10162),$675000 (€ 641063 £ 528405),
181,Mateusz Bogusz,pl POL,FW,LAFC,22,$12981 (€ 12328 £ 10162),$675000 (€ 641063 £ 528405),
182,Omar Campos,mx MEX,DFMF,LAFC,21,$12981 (€ 12328 £ 10162),$675000 (€ 641063 £ 528405),
183,Michael Boxall,nz NZL,DF,Minnesota Utd,35,$12981 (€ 12328 £ 10162),$675000 (€ 641063 £ 528405),
184,Eryk Williamson,us USA,MF,Portland Timbers,26,$12981 (€ 12328 £ 10162),$675000 (€ 641063 £ 528405),
185,Yohei Takaoka, ,GK,Vancouver W'caps,28,$12923 (€ 12273 £ 10116),$672000 (€ 638214 £ 526057),
186,Lalas Abubakar,gh GHA,DF,Colorado Rapids,29,$12788 (€ 12146 £ 10011),$665000 (€ 631566 £ 520577),
187,Gabriel Pirani,br BRA,MFFW,D.C. United,21,$12788 (€ 12146 £ 10011),$665000 (€ 631566 £ 520577),
188,Birk Risa,no NOR,DF,NYCFC,25,$12692 (€ 12054 £ 9936),$660000 (€ 626817 £ 516663),
189,Chris Mueller,us USA,FWMF,Chicago Fire,27,$12500 (€ 11872 £ 9785),$650004 (€ 617324 £ 508838),
190,Latif Blessing,gh GHA,FWMF,Houston Dynamo,27,$12500 (€ 11872 £ 9785),$650000 (€ 617320 £ 508835),
191,Aníbal Godoy,pa PAN,MF,Nashville SC,33,$12500 (€ 11872 £ 9785),$650000 (€ 617320 £ 508835),
192,Russell Canouse,us USA,MFDF,D.C. United,28,$12500 (€ 11872 £ 9785),$650000 (€ 617320 £ 508835),
193,Tai Baribo, ,CF,Philadelphia Union,26,$12500 (€ 11872 £ 9785),$650000 (€ 617320 £ 508835),
194,Marcelo Herrera,ar ARG,DF,Columbus Crew,25,$12500 (€ 11872 £ 9785),$650000 (€ 617320 £ 508835),
195,Jovan Mijatovic, ,CF,NYCFC,19,$12500 (€ 11872 £ 9785),$650000 (€ 617320 £ 508835),
196,Fafà Picault,ht HAI,FWMF,Vancouver W'caps,32,$12500 (€ 11872 £ 9785),$650000 (€ 617320 £ 508835),
197,Rodrigues,br BRA,DF,SJ Earthquakes,26,$12500 (€ 11872 £ 9785),$650000 (€ 617320 £ 508835),
198,Facundo Farías,ar ARG,AM,Inter Miami,21,$12500 (€ 11872 £ 9785),$650000 (€ 617320 £ 508835),
199,Yuya Kubo,jp JPN,FWDF,FC Cincinnati,30,$12500 (€ 11872 £ 9785),$650000 (€ 617320 £ 508835),
200,Ryan Hollingshead,us USA,DFMF,LAFC,32,$12404 (€ 11780 £ 9710),$645000 (€ 612571 £ 504921),
Rk
201,Corey Baird,us USA,FWMF,FC Cincinnati,28,$12391 (€ 11768 £ 9700),$644319 (€ 611925 £ 504387),
202,Andrés Reyes,co COL,DF,NY Red Bulls,24,$12346 (€ 11725 £ 9665),$642000 (€ 609722 £ 502572),
203,John Tolkin,us USA,DF,NY Red Bulls,21,$12308 (€ 11689 £ 9635),$640000 (€ 607823 £ 501006),
204,Bartosz Slisz, ,DM,Atlanta Utd,25,$12115 (€ 11506 £ 9484),$630000 (€ 598326 £ 493178),
205,Steve Clark,us USA,GK,Houston Dynamo,37,$12019 (€ 11415 £ 9409),$625000 (€ 593577 £ 489264),
206,Tim Melia,us USA,GK,Sporting KC,37,$12019 (€ 11415 £ 9409),$625000 (€ 593577 £ 489264),
207,Pedro Vite,ec ECU,MF,Vancouver W'caps,21,$11942 (€ 11342 £ 9349),$621000 (€ 589778 £ 486133),
208,Arnaud Souquet,fr FRA,DF,Chicago Fire,31,$11923 (€ 11324 £ 9334),$620012 (€ 588840 £ 485359),
209,Sebastien Ibeagha,us USA,DF,FC Dallas,32,$11923 (€ 11324 £ 9334),$620000 (€ 588828 £ 485350),
210,Ranko Veselinović,rs SRB,DF,Vancouver W'caps,24,$11923 (€ 11324 £ 9334),$620000 (€ 588828 £ 485350),
211,Luca Langoni, ,RW,NE Revolution,22,$11731 (€ 11141 £ 9183),$610000 (€ 579331 £ 477522),
212,Joaquín Pereyra,ar ARG,MFFW,Minnesota Utd,25,$11731 (€ 11141 £ 9183),$610000 (€ 579331 £ 477522),
