team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
vs Houston Dynamo,26,27.3,40.7,34,374,3060,34.0,38,25,63,34,4,5,68,4,45.9,41.8,32.6,74.5,418,1129,1.12,0.74,1.85,1.00,1.74,1.35,0.96,2.31,1.23,2.19
vs Inter Miami,31,26.9,45.3,34,374,3060,34.0,47,39,86,42,5,7,61,4,53.0,47.4,37.0,84.4,627,1398,1.38,1.15,2.53,1.24,2.38,1.56,1.09,2.65,1.39,2.48
vs LA Galaxy,26,27.5,43.3,34,374,3060,34.0,49,37,86,45,4,5,82,3,53.0,49.1,39.0,88.1,692,1494,1.44,1.09,2.53,1.32,2.41,1.56,1.15,2.71,1.44,2.59
vs LAFC,24,27.3,53.2,34,374,3060,34.0,40,31,71,39,1,3,87,8,39.9,37.6,29.4,67.0,563,1504,1.18,0.91,2.09,1.15,2.06,1.17,0.86,2.04,1.11,1.97
vs Minnesota Utd,36,27.5,55.7,34,374,3060,34.0,48,39,87,46,2,4,52,1,50.1,47.0,40.9,87.9,541,1435,1.41,1.15,2.56,1.35,2.50,1.47,1.20,2.68,1.38,2.58
vs Nashville SC,29,26.8,52.5,34,374,3060,34.0,51,40,91,49,2,5,64,0,54.1,50.2,40.8,91.0,649,1477,1.50,1.18,2.68,1.44,2.62,1.59,1.20,2.79,1.48,2.68
vs NE Revolution,33,26.8,49.0,34,374,3060,34.0,74,59,133,68,6,8,62,1,62.8,56.8,45.5,102.3,592,1410,2.18,1.74,3.91,2.00,3.74,1.85,1.34,3.19,1.67,3.01
vs NY Red Bulls,27,27.1,55.5,34,374,3060,34.0,48,36,84,42,6,6,68,3,43.7,39.0,30.4,69.5,464,1283,1.41,1.06,2.47,1.24,2.29,1.29,0.90,2.18,1.15,2.04
vs NYCFC,25,26.8,47.8,34,374,3060,34.0,49,33,82,45,4,5,79,2,47.1,43.1,32.6,75.7,501,1216,1.44,0.97,2.41,1.32,2.29,1.38,0.96,2.34,1.27,2.23
vs Orlando City,26,27.1,47.5,34,374,3060,34.0,50,38,88,44,6,8,80,4,47.0,40.7,34.0,74.7,479,1280,1.47,1.12,2.59,1.29,2.41,1.38,1.00,2.38,1.20,2.20
vs Philadelphia Union,26,26.8,53.1,34,374,3060,34.0,53,44,97,51,2,2,73,4,51.6,50.0,40.3,90.3,642,1529,1.56,1.29,2.85,1.50,2.79,1.52,1.19,2.70,1.47,2.66
vs Portland Timbers,27,27.2,51.3,34,374,3060,34.0,54,36,90,52,2,4,92,6,48.4,45.2,32.3,77.5,597,1572,1.59,1.06,2.65,1.53,2.59,1.42,0.95,2.37,1.33,2.28
vs Real Salt Lake,30,27.1,46.1,34,374,3060,34.0,47,29,76,43,4,6,69,1,43.5,38.8,30.9,69.8,478,1254,1.38,0.85,2.24,1.26,2.12,1.28,0.91,2.19,1.14,2.05
vs Seattle Sounders,28,27.2,49.5,34,374,3060,34.0,35,26,61,31,4,5,74,5,38.3,34.6,25.7,60.3,504,1402,1.03,0.76,1.79,0.91,1.68,1.13,0.76,1.88,1.02,1.77
vs SJ Earthquakes,27,27.3,55.4,34,374,3060,34.0,77,55,132,70,7,8,61,1,58.3,52.1,40.6,92.8,649,1640,2.26,1.62,3.88,2.06,3.68,1.72,1.20,2.91,1.53,2.73
vs Sporting KC,25,27.0,49.4,34,374,3060,34.0,62,45,107,60,2,5,62,1,52.8,48.9,38.2,87.2,491,1239,1.82,1.32,3.15,1.76,3.09,1.55,1.12,2.68,1.44,2.56
vs St. Louis,35,27.3,53.1,34,374,3060,34.0,59,43,102,54,5,6,61,4,57.4,52.8,43.0,95.8,462,1252,1.74,1.26,3.00,1.59,2.85,1.69,1.26,2.95,1.55,2.82
vs Toronto FC,27,26.7,50.1,34,374,3060,34.0,60,45,105,55,5,5,60,1,48.5,44.6,34.6,79.2,494,1194,1.76,1.32,3.09,1.62,2.94,1.43,1.02,2.44,1.31,2.33
vs Vancouver W'caps,29,27.1,52.4,34,374,3060,34.0,47,32,79,42,5,6,71,4,44.6,40.4,32.2,72.7,576,1436,1.38,0.94,2.32,1.24,2.18,1.31,0.95,2.26,1.19,2.14
