team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Minnesota Utd,3,34.0,49,2,0,8,1,48.9,0.32,+0.9,+0.03,135,517,26.1,789,144,47.5,31.2,263,54.0,41.2,479,13,2.7,50,1.47,17.4
Nashville SC,2,34.0,54,2,1,10,3,50.2,0.29,-0.8,-0.02,168,436,38.5,802,182,38.3,33.7,270,47.8,39.1,443,28,6.3,24,0.71,17.5
NE Revolution,3,34.0,74,6,2,7,0,71.1,0.32,-2.9,-0.09,143,447,32.0,758,98,36.3,32.4,300,57.3,46.7,435,14,3.2,12,0.35,12.4
NY Red Bulls,2,34.0,50,6,3,4,2,44.1,0.30,-3.9,-0.12,141,520,27.1,843,136,42.9,34.8,231,68.4,51.1,409,24,5.9,43,1.26,16.1
NYCFC,2,34.0,49,4,1,5,0,54.3,0.30,+5.3,+0.16,86,326,26.4,1112,208,22.5,28.4,228,33.3,33.3,422,29,6.9,33,0.97,14.6
Orlando City,3,34.0,50,6,1,3,0,50.0,0.32,0.0,0.00,116,292,39.7,569,121,37.8,30.1,253,30.4,29.6,374,23,6.1,36,1.06,14.6
Philadelphia Union,3,34.0,55,2,2,5,2,55.7,0.34,+2.7,+0.08,150,401,37.4,628,135,36.0,44.0,260,67.3,47.9,458,18,3.9,25,0.74,17.8
Portland Timbers,2,34.0,56,2,1,12,2,53.5,0.35,-0.5,-0.01,193,481,40.1,1010,145,37.6,35.6,294,34.4,33.2,476,35,7.4,49,1.44,12.6
Real Salt Lake,2,34.0,48,4,3,3,1,44.2,0.26,-2.8,-0.08,146,391,37.3,1077,185,29.6,30.2,233,30.9,32.2,405,36,8.9,46,1.35,15.6
Seattle Sounders,2,34.0,35,4,0,2,0,34.5,0.25,-0.5,-0.02,129,385,33.5,702,121,38.3,35.2,248,46.8,40.8,471,39,8.3,14,0.41,10.2
SJ Earthquakes,3,34.0,78,7,0,10,1,62.5,0.30,-14.5,-0.43,161,374,43.0,767,151,31.8,30.2,286,45.5,37.0,534,30,5.6,25,0.74,13.5
Sporting KC,2,34.0,66,2,1,8,4,58.1,0.38,-3.9,-0.11,120,442,27.1,773,137,39.6,35.2,244,55.7,45.3,347,14,4.0,26,0.76,13.2
St. Louis,2,34.0,63,5,1,2,4,63.7,0.36,+4.7,+0.14,201,508,39.6,987,134,41.4,36.9,228,43.4,39.5,442,15,3.4,45,1.32,15.6
Toronto FC,2,34.0,61,5,1,4,1,57.1,0.33,-2.9,-0.09,122,388,31.4,901,141,32.6,32.4,241,39.0,36.7,416,23,5.5,45,1.32,16.8
Vancouver W'caps,2,34.0,49,5,0,4,2,50.2,0.33,+3.2,+0.10,137,394,34.8,795,100,33.8,34.4,215,58.1,48.9,472,21,4.4,18,0.53,12.2
