ranker,player,nationality,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked,matches
19,Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,1993,17.8,1019,846,172,24,0,4,24,148,0,0,0,0,821,1,29,Matches
20,Matai Akinmboni,us USA,DF,D.C. United,17,2006,4.9,214,193,21,4,0,2,3,17,0,0,0,0,177,0,1,Matches
21,Ayo Akinola,ca CAN,FWMF,Toronto FC,24,2000,1.0,23,23,0,0,0,0,1,0,0,0,0,0,18,0,0,Matches
22,Jordi Alba,es ESP,DF,Inter Miami,34,1989,24.8,1930,1698,226,37,4,21,97,173,16,1,7,0,1563,6,52,Matches
23,Noah Allen,us USA,DF,Inter Miami,19,2004,10.3,689,663,25,12,1,2,5,13,0,0,0,0,600,1,11,Matches
24,Rasmus Alm,se SWE,FWMF,St. Louis,28,1995,9.3,229,224,5,2,2,3,20,2,0,0,0,0,147,0,12,Matches
25,Thiago Almada,ar ARG,MFFW,Atlanta Utd,22,2001,15.5,1040,904,130,45,7,21,82,14,50,35,10,0,825,6,16,Matches
Rk
26,Fernando Álvarez,co COL,DF,CF Montréal,20,2003,23.8,1453,1362,88,39,3,1,2,48,0,0,0,0,1266,3,11,Matches
27,Pedro Amador,pt POR,DF,Atlanta Utd,25,1998,9.0,474,401,72,13,1,3,37,59,0,0,0,0,362,1,13,Matches
28,Frankie Amaya,us USA,MF,NY Red Bulls,23,2000,17.9,851,818,26,17,2,10,14,1,8,3,4,0,684,7,18,Matches
29,Malte Amundsen,dk DEN,DF,Columbus Crew,25,1998,25.5,1915,1759,147,59,2,12,17,87,0,0,0,0,1671,9,25,Matches
30,Markus Anderson,us USA,MFFW,Philadelphia Union,20,2003,1.1,13,12,0,0,0,0,0,0,0,0,0,0,5,1,1,Matches
31,Sebastian Anderson,us USA,DF,Colorado Rapids,21,2002,5.6,276,207,67,5,0,0,8,62,0,0,0,0,202,2,11,Matches
32,José Andrés Martínez,ve VEN,MF,Philadelphia Union,29,1994,11.3,539,525,13,10,0,14,15,3,0,0,0,0,424,1,11,Matches
33,Tomas Ángel,co COL,FWMF,LAFC,20,2003,0.6,22,21,1,0,1,0,1,0,0,0,0,0,17,0,0,Matches
34,Iván Angulo,co COL,FWMF,Orlando City,24,1999,30.7,1314,1262,48,3,6,2,40,41,3,0,0,0,1096,4,33,Matches
35,Eugene Ansah,gh GHA,FWMF,FC Dallas,29,1994,4.8,98,95,3,0,1,0,8,1,0,0,0,0,72,0,1,Matches
36,Conner Antley,us USA,DF,D.C. United,28,1995,4.8,204,170,33,1,1,0,3,32,0,0,0,0,135,1,9,Matches
37,Antony,br BRA,FWMF,Portland Timbers,22,2001,21.0,669,652,15,0,0,0,36,15,0,0,0,0,497,2,29,Matches
38,Brian Anunga,cm CMR,MF,Nashville SC,27,1996,16.1,777,763,11,9,0,4,7,2,0,0,0,0,669,3,12,Matches
39,Cristian Arango,co COL,FWMF,Real Salt Lake,28,1995,25.4,600,554,41,7,7,6,41,6,0,0,0,0,411,5,17,Matches
40,César Araujo,uy URU,MF,Orlando City,22,2001,26.9,1498,1449,48,33,2,20,11,15,0,0,0,0,1320,1,18,Matches
41,Miguel Araujo,pe PER,DF,Portland Timbers,29,1994,17.1,832,765,64,37,2,4,1,4,0,0,0,0,694,3,3,Matches
42,Scott Arfield,ca CAN,MFFW,Charlotte,35,1988,4.2,131,124,7,0,1,1,0,1,0,0,0,0,106,0,3,Matches
43,Maximilian Arfsten,us USA,DF,Columbus Crew,22,2001,21.8,1100,1013,81,3,0,4,78,73,5,1,0,0,902,6,24,Matches
44,Allan Arigoni,ch SUI,DF,Chicago Fire,25,1998,23.3,1231,1014,213,13,1,5,55,200,0,0,0,0,971,4,33,Matches
45,Daniel Armando Ríos,mx MEX,FW,Atlanta Utd,28,1995,15.1,331,308,20,0,1,0,7,1,0,0,0,0,245,3,16,Matches
46,Stuart Armstrong,sct SCO,MFFW,Vancouver W'caps,31,1992,1.4,82,80,2,1,0,0,2,0,0,0,0,0,70,0,4,Matches
47,Xavier Arreaga,ec ECU,DF,NE Revolution,29,1994,21.5,1161,1130,28,24,1,7,2,2,0,0,0,0,1004,3,10,Matches
48,Xavier Arreaga,ec ECU,DF,Seattle Sounders,29,1994,2.8,180,170,10,10,0,3,0,0,0,0,0,0,159,0,2,Matches
49,Kervin Arriaga,hn HON,DFMF,Minnesota Utd,26,1998,9.8,491,425,66,30,0,9,1,30,0,0,0,0,396,0,5,Matches
50,Paul Arriola,us USA,DFMF,FC Dallas,28,1995,27.3,1100,997,96,12,0,9,53,81,1,1,0,0,834,7,29,Matches
Rk
51,Artur,br BRA,MF,Houston Dynamo,27,1996,33.8,2513,2427,81,75,6,35,7,6,0,0,0,0,2231,5,28,Matches
52,Yamil Asad,ar ARG,DF,FC Cincinnati,29,1994,8.9,627,543,83,7,3,6,9,68,8,4,0,0,498,1,13,Matches
53,Dairon Asprilla,co COL,FWDF,Portland Timbers,31,1992,7.6,246,222,24,0,0,1,13,18,0,0,0,0,184,0,16,Matches
54,Joshua Atencio,us USA,MF,Seattle Sounders,22,2002,11.9,749,731,18,8,2,3,21,9,0,0,0,0,595,0,13,Matches
55,Eduard Atuesta,co COL,MF,LAFC,26,1997,24.3,1419,1270,140,58,9,14,103,13,69,32,27,0,1158,9,17,Matches
56,Julián Aude,ar ARG,DF,LA Galaxy,20,2003,18.8,1074,926,144,29,1,5,19,115,0,0,0,0,896,4,16,Matches
57,Tomás Avilés,ar ARG,DF,Inter Miami,19,2004,24.4,1698,1650,45,40,0,14,3,4,0,0,0,0,1542,3,12,Matches
58,Chidozie Awaziem,ng NGA,DF,FC Cincinnati,27,1997,5.9,438,412,24,14,2,4,1,10,0,0,0,0,384,2,2,Matches
59,David Ayala,ar ARG,MF,Portland Timbers,21,2002,16.3,900,872,22,17,3,20,9,3,1,1,0,0,767,6,13,Matches
60,Hugo Bacharach,es ESP,DF,Minnesota Utd,22,2001,1.0,59,59,0,0,0,0,0,0,0,0,0,0,53,0,0,Matches
61,Dominique Badji,sn SEN,MFFW,D.C. United,31,1992,3.3,73,69,2,0,0,0,3,1,0,0,0,0,50,2,3,Matches
62,Corey Baird,us USA,FWMF,FC Cincinnati,28,1996,10.6,224,219,4,0,1,0,3,1,0,0,0,0,176,1,13,Matches
63,Esmir Bajraktarevic,ba BIH,FWMF,NE Revolution,18,2005,22.0,785,718,64,13,1,7,78,15,35,17,10,0,608,3,19,Matches
64,Cody Baker,us USA,DFMF,Seattle Sounders,20,2004,5.3,309,256,52,4,0,0,14,48,0,0,0,0,233,1,10,Matches
65,Reed Baker-Whiting,us USA,DFFW,Seattle Sounders,18,2005,8.7,467,419,46,4,0,3,29,42,0,0,0,0,372,2,5,Matches
66,Monsef Bakrar,dz ALG,FW,NYCFC,23,2001,15.0,260,244,16,0,0,1,15,0,0,0,0,0,168,0,15,Matches
67,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,23,2000,0.3,7,7,0,0,0,0,1,0,0,0,0,0,6,0,0,Matches
68,Fidel Barajas,mx MEX,FW,Real Salt Lake,17,2006,6.3,175,158,16,1,1,0,25,1,9,3,2,0,140,1,4,Matches
69,Tai Baribo,il ISR,FW,Philadelphia Union,26,1998,15.7,322,300,20,1,0,0,0,7,0,0,0,0,254,2,8,Matches
70,Tom Barlow,us USA,FWMF,Chicago Fire,28,1995,8.3,180,172,7,0,0,0,9,0,0,0,0,0,118,1,9,Matches
71,Luis Barraza,us USA,GK,NYCFC,27,1996,0.9,32,25,7,2,0,0,0,0,0,0,0,0,27,0,0,Matches
72,Lucas Bartlett,us USA,DF,D.C. United,26,1997,30.4,1503,1436,58,46,1,14,4,12,0,0,0,0,1210,9,13,Matches
73,Ethan Bartlow,us USA,DF,Houston Dynamo,23,2000,9.5,605,583,20,14,0,14,3,4,0,0,0,0,518,2,6,Matches
74,Cole Bassett,us USA,MFFW,Colorado Rapids,22,2001,28.5,1691,1592,89,37,1,13,57,37,3,0,2,0,1438,10,17,Matches
75,Amine Bassi,fr FRA,MF,Houston Dynamo,26,1997,28.1,1860,1721,123,32,6,31,111,14,71,30,25,3,1573,16,29,Matches
Rk
76,Zorhan Bassong,ca CAN,DFMF,Sporting KC,24,1999,13.9,738,654,79,13,1,3,33,64,2,2,0,0,602,5,12,Matches
77,Josh Bauer,us USA,DF,Nashville SC,25,1998,20.7,1042,956,82,22,0,3,7,57,0,0,0,0,870,4,17,Matches
78,Tanner Beason,us USA,DF,SJ Earthquakes,26,1997,18.1,784,737,43,21,1,5,4,20,0,0,0,0,651,4,3,Matches
79,Adam Beaudry,us USA,GK,Colorado Rapids,17,2006,1.0,22,11,9,1,0,0,0,0,0,0,0,0,14,2,0,Matches
80,Gavin Beavers,us USA,GK,Real Salt Lake,18,2005,11.0,362,278,84,12,0,0,0,0,0,0,0,0,277,0,0,Matches
81,Simon Becher,us USA,FW,St. Louis,24,1999,6.1,124,113,10,0,0,0,0,0,0,0,0,0,86,1,7,Matches
82,Alejandro Bedoya,us USA,MF,Philadelphia Union,36,1987,16.2,753,715,36,6,1,5,22,30,0,0,0,0,562,2,25,Matches
83,Jon Bell,jm JAM,DF,Seattle Sounders,26,1997,5.4,279,266,12,9,0,0,3,3,0,0,0,0,238,1,3,Matches
84,Matthew Bell,jm JAM,FW,Real Salt Lake,21,2002,0.2,12,12,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
85,Ben Bender,us USA,MFFW,Charlotte,22,2001,2.2,61,57,3,0,0,0,3,0,0,0,0,0,47,1,1,Matches
86,Christian Benteke,be BEL,FW,D.C. United,33,1990,28.8,744,710,29,1,1,3,2,0,0,0,0,0,436,5,12,Matches
87,Nimfasha Berchimas,us USA,FWMF,Charlotte,15,2008,0.3,6,5,1,0,0,0,0,1,0,0,0,0,6,0,0,Matches
88,Sebastian Berhalter,us USA,MFDF,Vancouver W'caps,22,2001,20.7,1027,895,128,50,3,30,137,19,55,34,17,0,775,4,19,Matches
89,Federico Bernardeschi,it ITA,DFMF,Toronto FC,29,1994,27.3,1315,1081,225,48,9,45,152,101,76,30,20,0,996,9,45,Matches
90,Miguel Berry,es ESP,FW,LA Galaxy,26,1997,9.2,167,153,14,0,1,0,1,2,0,0,0,0,116,0,8,Matches
91,Pep Biel,es ESP,FWMF,Charlotte,27,1996,6.8,240,216,23,1,1,0,26,3,16,11,0,0,179,1,5,Matches
92,Alessandro Biello,ca CAN,MF,CF Montréal,17,2006,0.2,12,12,0,0,0,0,0,0,0,0,0,0,12,0,0,Matches
93,Steve Birnbaum,us USA,DF,D.C. United,33,1991,3.8,172,168,4,4,0,0,1,0,0,0,0,0,140,0,1,Matches
94,Guilherme Biro,br BRA,DF,Austin,23,2000,25.4,1311,1102,204,41,0,10,47,162,1,0,0,0,1044,5,21,Matches
95,Tristan Blackmon,us USA,DF,Vancouver W'caps,27,1996,21.0,1379,1241,134,22,1,4,7,112,0,0,0,0,1189,4,9,Matches
96,Andre Blake,jm JAM,GK,Philadelphia Union,33,1990,12.4,287,188,99,14,0,1,0,0,0,0,0,0,214,0,1,Matches
97,Latif Blessing,gh GHA,FWMF,Houston Dynamo,27,1996,11.0,319,315,3,0,2,2,3,3,0,0,0,0,254,1,12,Matches
98,Njabulo Blom,za RSA,MF,St. Louis,24,1999,9.7,400,383,17,15,0,0,7,2,0,0,0,0,330,0,10,Matches
99,Emmanuel Boateng,gh GHA,FW,NE Revolution,30,1994,7.8,246,232,11,2,0,0,32,6,2,0,2,0,178,3,10,Matches
100,Isaac Boehmer,us USA,GK,Vancouver W'caps,22,2001,1.0,36,22,14,5,0,0,0,0,0,0,0,0,17,0,0,Matches
Rk
101,Mateusz Bogusz,pl POL,FW,LAFC,22,2001,29.0,1087,946,137,15,8,6,113,5,82,24,53,0,854,4,26,Matches
102,Moïse Bombito,ca CAN,DF,Colorado Rapids,23,2000,17.2,853,824,28,17,1,8,2,7,0,0,0,0,722,1,4,Matches
103,Alex Bono,us USA,GK,D.C. United,29,1994,29.0,1057,739,311,121,0,0,0,0,0,0,0,0,664,7,1,Matches
104,Shanyder Borgelin,ht HAI,FWMF,Inter Miami,22,2001,1.5,31,29,2,0,0,0,4,0,0,0,0,0,16,0,2,Matches
105,Dylan Borrero,co COL,FWMF,NE Revolution,22,2002,10.5,523,507,15,3,3,13,33,5,5,0,0,0,416,1,6,Matches
106,Denis Bouanga,ga GAB,FW,LAFC,29,1994,30.6,725,661,58,8,3,4,89,13,33,16,10,0,490,6,36,Matches
107,Ousseni Bouda,bf BFA,FW,SJ Earthquakes,23,2000,4.2,98,89,9,0,0,0,5,1,0,0,0,0,76,0,2,Matches
108,Aaron Boupendza,ga GAB,FWMF,FC Cincinnati,27,1996,6.1,140,135,3,1,0,2,3,0,0,0,0,0,95,2,4,Matches
109,Giuseppe Bovalina,au AUS,DFFW,Vancouver W'caps,19,2004,1.9,55,50,4,2,1,0,5,2,0,0,0,0,36,1,4,Matches
110,Michael Boxall,nz NZL,DF,Minnesota Utd,35,1988,31.5,1197,1076,118,56,0,5,3,42,0,0,0,0,1008,3,11,Matches
111,Tyler Boyd,us USA,FWMF,Nashville SC,29,1994,12.6,362,341,16,4,1,12,22,5,4,4,0,0,267,5,13,Matches
112,Christopher Brady,us USA,GK,Chicago Fire,19,2004,33.0,926,604,321,67,0,0,0,1,0,0,0,0,659,1,0,Matches
113,Alejandro Bran,cr CRC,MF,Minnesota Utd,22,2001,4.8,212,207,4,3,0,3,6,1,0,0,0,0,173,1,4,Matches
114,Claudio Bravo,ar ARG,DF,Portland Timbers,26,1997,17.7,997,841,154,20,0,4,50,133,1,1,0,0,764,2,35,Matches
115,David Brekalo,si SVN,DF,Orlando City,25,1998,12.6,623,595,27,15,0,2,0,2,0,0,0,0,530,1,3,Matches
116,Luke Brennan,us USA,FWDF,Atlanta Utd,18,2005,1.7,26,26,0,0,0,0,3,0,0,0,0,0,21,0,1,Matches
117,Sebastian Breza,ca CAN,GK,CF Montréal,25,1998,1.0,37,16,21,4,0,0,0,0,0,0,0,0,16,0,0,Matches
118,Yannick Bright,it ITA,MF,Inter Miami,22,2001,15.6,765,753,9,8,1,6,0,1,0,0,0,0,663,3,12,Matches
119,Andrew Brody,us USA,DF,Real Salt Lake,28,1995,23.4,1508,1266,238,20,1,4,24,218,0,0,0,0,1290,4,12,Matches
120,Brandt Bronico,us USA,MF,Charlotte,28,1995,19.3,521,493,26,6,2,3,15,6,0,0,0,0,395,2,14,Matches
121,Lachlan Brook,au AUS,FW,Real Salt Lake,22,2001,2.6,85,77,7,0,0,2,4,3,3,2,1,0,65,1,1,Matches
122,Javain Brown,jm JAM,DF,Vancouver W'caps,24,1999,10.8,631,550,81,7,0,2,33,74,0,0,0,0,499,0,6,Matches
123,Javain Brown,jm JAM,DF,Real Salt Lake,24,1999,3.7,210,175,34,7,0,1,8,27,0,0,0,0,161,1,2,Matches
124,Gastón Brugman,uy URU,MF,LA Galaxy,31,1992,13.2,1012,973,37,34,3,6,9,1,1,1,0,0,905,2,8,Matches
125,Pavel Bucha,cz CZE,MF,FC Cincinnati,25,1998,32.4,1665,1639,19,15,5,11,7,3,1,1,0,0,1476,7,20,Matches
Rk
126,Noel Buck,eng ENG,MFFW,NE Revolution,18,2005,6.0,235,227,6,6,2,2,2,0,0,0,0,0,206,2,2,Matches
127,Dawid Bugaj,pl POL,DF,CF Montréal,19,2004,1.8,56,52,4,0,0,0,2,4,0,0,0,0,40,0,2,Matches
128,Osman Bukari,gh GHA,FWMF,Austin,25,1998,6.8,151,148,2,0,1,0,22,0,2,0,1,0,99,1,6,Matches
129,Teal Bunbury,us USA,FW,Nashville SC,33,1990,12.8,328,322,4,0,0,0,4,0,0,0,0,0,228,2,6,Matches
130,Cory Burke,jm JAM,FW,NY Red Bulls,32,1991,3.3,59,58,1,0,0,1,2,0,0,0,0,0,33,0,1,Matches
131,Roman Bürki,ch SUI,GK,St. Louis,33,1990,31.3,1135,865,266,96,0,2,1,0,0,0,0,0,813,4,0,Matches
132,Evan Bush,us USA,GK,Columbus Crew,37,1986,1.4,56,32,23,11,0,0,0,0,0,0,0,0,42,1,0,Matches
133,Sergio Busquets,es ESP,MFDF,Inter Miami,35,1988,27.6,2104,1974,122,112,6,12,0,6,0,0,0,0,1866,8,18,Matches
134,Brandon Bye,us USA,DF,NE Revolution,28,1995,8.7,453,363,88,4,0,3,37,84,0,0,0,0,329,2,15,Matches
135,Nathan Byrne,eng ENG,DF,Charlotte,31,1992,31.0,1583,1298,280,31,1,13,61,249,0,0,0,0,1251,5,18,Matches
136,Kevin Cabral,fr FRA,FWMF,Colorado Rapids,24,1999,14.5,335,325,9,1,0,1,19,0,0,0,0,0,251,1,8,Matches
137,Martín Cáceres,uy URU,DF,LA Galaxy,36,1987,11.9,713,691,22,14,0,1,0,1,0,0,0,0,668,0,5,Matches
138,Deiber Caicedo,co COL,FWDF,Vancouver W'caps,23,2000,1.4,50,47,2,0,0,0,2,2,0,0,0,0,41,1,0,Matches
139,Noel Caliskan,de GER,MF,Real Salt Lake,23,2000,2.2,144,142,2,2,0,0,0,0,0,0,0,0,124,0,1,Matches
140,Drake Callender,us USA,GK,Inter Miami,26,1997,32.0,1116,818,298,49,0,2,0,0,0,0,0,0,902,0,0,Matches
141,Rudy Camacho,fr FRA,DF,Columbus Crew,32,1991,25.7,1936,1813,120,94,1,10,0,14,0,0,0,0,1715,3,13,Matches
142,Brandon Cambridge,us USA,FW,Charlotte,21,2002,0.3,14,13,1,0,0,0,5,1,0,0,0,0,5,0,1,Matches
143,Leonardo Campana,ec ECU,FW,Inter Miami,23,2000,14.2,377,348,28,1,2,2,7,1,0,0,0,0,286,1,12,Matches
144,George Campbell,us USA,DF,CF Montréal,22,2001,24.4,1788,1701,84,37,2,9,7,47,0,0,0,0,1519,3,23,Matches
145,Omar Campos,mx MEX,DFMF,LAFC,21,2002,17.9,846,706,137,11,1,4,52,113,13,9,2,0,661,3,22,Matches
146,Reggie Cannon,us USA,DF,Colorado Rapids,25,1998,3.8,192,166,26,2,0,0,4,24,0,0,0,0,165,0,4,Matches
147,Russell Canouse,us USA,MFDF,D.C. United,28,1995,0.2,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
148,Felipe Carballo,uy URU,MF,NY Red Bulls,27,1996,5.0,259,253,6,6,1,3,4,0,0,0,0,0,215,0,9,Matches
149,Nathan Cardoso,br BRA,DF,Seattle Sounders,28,1995,1.0,62,60,2,2,0,0,0,0,0,0,0,0,57,0,0,Matches
150,Wikelman Carmona,ve VEN,MFFW,NY Red Bulls,20,2003,17.7,603,575,23,6,4,7,28,8,9,7,1,0,466,5,19,Matches
Rk
151,Julián Carranza,ar ARG,FW,Philadelphia Union,23,2000,11.9,275,255,18,0,0,2,2,2,0,0,0,0,193,2,15,Matches
152,Adalberto Carrasquilla,pa PAN,FWMF,Houston Dynamo,25,1998,25.5,1449,1404,33,19,7,15,44,8,6,0,6,0,1192,12,14,Matches
153,Wilder Cartagena,pe PER,MFDF,Orlando City,29,1994,24.4,1364,1314,47,40,2,11,13,1,0,0,0,0,1175,3,19,Matches
154,Javier Casas,us USA,MF,Chicago Fire,20,2003,0.0,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
155,Julio Cascante,cr CRC,DF,Austin,30,1993,20.7,1116,1081,34,29,0,17,0,5,0,0,0,0,975,1,8,Matches
156,Robert Castellanos,us USA,DF,Sporting KC,25,1998,11.5,664,649,13,13,0,8,1,0,0,0,0,0,570,2,5,Matches
157,Roman Celentano,us USA,GK,FC Cincinnati,23,2000,30.0,878,594,277,68,0,0,0,0,0,0,0,0,682,7,2,Matches
158,Edwin Cerrillo,us USA,MF,LA Galaxy,23,2000,23.1,1612,1581,30,21,1,7,0,8,0,0,0,0,1519,1,12,Matches
159,Dylan Chambost,fr FRA,MFFW,Columbus Crew,26,1997,6.1,486,450,32,10,0,5,30,1,21,9,10,0,408,4,7,Matches
160,Tomás Chancalay,ar ARG,FW,NE Revolution,25,1999,10.3,348,321,26,1,2,12,35,9,10,6,0,1,252,1,10,Matches
161,Maikel Chang,cu CUB,FWMF,Real Salt Lake,32,1991,4.1,232,205,24,4,0,2,33,5,15,8,3,0,159,3,14,Matches
162,Maxime Chanot,lu LUX,DF,LAFC,34,1989,14.8,863,816,45,29,0,5,1,2,0,0,0,0,792,2,2,Matches
163,Diego Chará,co COL,MF,Portland Timbers,37,1986,26.9,1396,1359,37,32,0,7,8,5,0,0,0,0,1272,0,14,Matches
164,Gabriel Chaves,br BRA,FW,LA Galaxy,22,2001,30.3,1402,1270,125,14,7,5,62,61,50,27,5,0,1198,7,43,Matches
165,Yevhen Cheberko,ua UKR,DF,Columbus Crew,26,1998,18.8,1518,1435,79,56,0,3,3,20,0,0,0,0,1388,4,8,Matches
166,Mathieu Choiniere,ca CAN,MF,CF Montréal,24,1999,16.6,997,902,93,40,3,6,54,5,47,15,16,0,837,2,16,Matches
167,Léo Chú,br BRA,FWMF,Seattle Sounders,23,2000,7.9,199,191,7,0,0,0,17,6,1,0,0,0,144,1,9,Matches
168,Caden Clark,us USA,DFFW,Minnesota Utd,20,2003,11.5,414,393,19,0,5,1,19,18,0,0,0,0,283,2,19,Matches
169,Caden Clark,us USA,MF,CF Montréal,20,2003,7.4,226,223,2,1,0,0,6,1,0,0,0,0,187,1,7,Matches
170,Steve Clark,us USA,GK,Houston Dynamo,37,1986,30.8,896,712,184,45,0,1,0,1,0,0,0,0,751,0,0,Matches
171,Noah Cobb,us USA,DF,Atlanta Utd,18,2005,15.0,758,740,15,10,0,13,1,4,0,0,0,0,630,3,4,Matches
172,Matías Cóccaro,uy URU,FWMF,CF Montréal,26,1997,10.0,223,203,20,0,2,2,8,0,0,0,0,0,153,0,5,Matches
173,Alonso Coello,es ESP,MF,Toronto FC,24,1999,17.0,1201,1167,28,26,4,15,5,1,0,0,0,0,1016,6,14,Matches
174,Josh Cohen,us USA,GK,Atlanta Utd,31,1992,2.3,83,68,15,6,0,0,0,0,0,0,0,0,70,0,1,Matches
175,Enzo Copetti,ar ARG,FW,Charlotte,28,1996,5.5,117,105,11,0,1,1,3,2,0,0,0,0,76,1,3,Matches
Rk
176,Gabriele Corbo,it ITA,DF,CF Montréal,24,2000,19.2,1244,1158,81,43,2,15,6,37,1,0,0,0,1064,5,8,Matches
177,Carlos Coronel,py PAR,GK,NY Red Bulls,27,1996,27.0,891,614,275,93,0,4,0,0,0,0,0,0,562,2,1,Matches
178,Vitor Costa,br BRA,DF,SJ Earthquakes,29,1994,23.3,1032,863,168,30,0,14,34,138,0,0,0,0,791,1,29,Matches
179,Ben Cremaschi,us USA,MF,Inter Miami,18,2005,12.7,605,597,7,4,0,2,3,3,0,0,0,0,527,1,15,Matches
180,Maxime Crépeau,ca CAN,GK,Portland Timbers,29,1994,19.5,762,550,211,78,0,1,0,0,0,0,0,0,600,1,1,Matches
181,Matt Crooks,eng ENG,MF,Real Salt Lake,30,1994,20.9,887,851,27,8,3,6,2,17,1,0,0,0,741,9,22,Matches
182,Andrés Cubas,py PAR,MF,Vancouver W'caps,27,1996,21.5,1028,1003,23,23,0,15,1,0,0,0,0,0,922,2,9,Matches
183,Cucho,co COL,FWMF,Columbus Crew,24,1999,23.5,962,924,32,1,16,24,63,9,1,0,1,0,628,6,45,Matches
184,Mauricio Cuevas,us USA,DFFW,LA Galaxy,20,2003,3.7,257,233,21,1,1,1,25,17,3,2,0,0,205,3,6,Matches
185,Hugo Cuypers,be BEL,FW,Chicago Fire,26,1997,29.1,588,530,56,0,2,4,16,3,0,0,0,0,405,2,29,Matches
186,Rafael Czichos,de GER,DF,Chicago Fire,33,1990,26.0,1494,1432,54,45,3,8,12,9,0,0,0,0,1271,8,6,Matches
187,Cristián Dajome,co COL,DFFW,D.C. United,30,1994,22.5,646,575,66,3,1,4,30,60,1,0,0,0,493,5,18,Matches
188,Dagur Dan Þórhallsson,is ISL,DF,Orlando City,23,2000,26.8,1196,1022,172,16,2,5,45,156,0,0,0,0,997,2,20,Matches
189,Daniel,br BRA,GK,SJ Earthquakes,29,1994,12.0,397,274,121,27,1,0,0,0,0,0,0,0,315,2,0,Matches
190,Jesús Daniel Bueno,ve VEN,MF,Philadelphia Union,24,1999,6.9,311,299,11,2,2,1,13,1,7,2,4,0,248,1,5,Matches
191,Héctor David Martínez,py PAR,DF,Inter Miami,26,1998,3.1,206,197,8,8,0,5,0,0,0,0,0,0,176,1,1,Matches
192,Juan David Mosquera,co COL,DF,Portland Timbers,21,2002,30.9,1659,1382,275,43,3,14,99,231,1,0,0,0,1378,2,43,Matches
193,Jesús David Murillo,co COL,DF,LAFC,29,1994,18.8,893,853,38,24,0,5,1,3,0,0,0,0,741,2,9,Matches
