ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
719,Oleksandr Svatok,ua UKR,DF,Austin,29,1994,4.5,0,1,0,0.0,0.22,0.00,0.00,,5.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
720,Erik Sviatchenko,dk DEN,DF,Houston Dynamo,32,1991,27.0,1,39,17,43.6,1.44,0.63,0.03,0.06,14.0,0,0,0,1.9,1.9,0.05,-0.9,-0.9,Matches
721,Karol Świderski,pl POL,FW,Charlotte,27,1997,5.9,6,24,11,45.8,4.08,1.87,0.17,0.36,14.2,0,2,2,6.4,4.9,0.22,-0.4,-0.9,Matches
722,Nkosi Tafari,us USA,DF,FC Dallas,26,1997,25.0,3,20,9,45.0,0.80,0.36,0.15,0.33,12.3,0,0,0,1.6,1.6,0.08,+1.4,+1.4,Matches
723,Yohei Takaoka,jp JPN,GK,Vancouver W'caps,27,1996,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
724,Strahinja Tanasijević,rs SRB,DF,NYCFC,26,1997,11.0,0,3,1,33.3,0.27,0.09,0.00,0.00,20.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
725,Miguel Tapias,mx MEX,DF,Minnesota Utd,27,1997,23.2,0,9,1,11.1,0.39,0.04,0.00,0.00,7.7,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
Rk
726,Andrew Tarbell,us USA,GK,Houston Dynamo,30,1993,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
727,Iuri Tavares,cv CPV,FW,Charlotte,22,2001,10.0,3,26,9,34.6,2.61,0.90,0.12,0.33,13.0,0,0,1,4.5,3.7,0.14,-1.5,-0.7,Matches
728,D.J. Taylor,us USA,DFMF,Minnesota Utd,26,1997,16.5,0,11,2,18.2,0.67,0.12,0.00,0.00,19.1,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
729,Robert Taylor,fi FIN,FWMF,Inter Miami,29,1994,18.3,5,25,12,48.0,1.37,0.66,0.20,0.42,18.8,0,0,0,3.2,3.2,0.13,+1.8,+1.8,Matches
730,Carlos Terán,co COL,DF,Chicago Fire,23,2000,13.5,1,8,3,37.5,0.59,0.22,0.13,0.33,19.1,0,0,0,0.9,0.9,0.12,+0.1,+0.1,Matches
731,Cedric Teuchert,de GER,MFFW,St. Louis,27,1997,8.4,5,26,9,34.6,3.10,1.07,0.19,0.56,20.4,0,0,0,2.2,2.2,0.08,+2.8,+2.8,Matches
732,Dylan Teves,us USA,MFFW,Seattle Sounders,23,2000,1.0,1,1,1,100.0,1.01,1.01,1.00,1.00,10.0,0,0,0,0.5,0.5,0.47,+0.5,+0.5,Matches
733,Jamal Thiaré,sn SEN,FW,Atlanta Utd,30,1993,12.7,6,27,14,51.9,2.12,1.10,0.22,0.43,10.2,0,0,0,5.8,5.8,0.21,+0.2,+0.2,Matches
734,Andrew Thomas,ru RUS,GK,Seattle Sounders,25,1998,6.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
735,Erik Thommy,de GER,MFFW,Sporting KC,29,1994,25.8,7,79,21,26.6,3.06,0.81,0.09,0.33,22.3,8,0,0,5.4,5.4,0.07,+1.6,+1.6,Matches
736,Kosi Thompson,ca CAN,MFDF,Toronto FC,21,2003,12.3,0,6,0,0.0,0.49,0.00,0.00,,20.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
737,Tommy Thompson,us USA,DFFW,SJ Earthquakes,28,1995,1.0,0,2,0,0.0,1.96,0.00,0.00,,11.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
738,Timmy Tillman,de GER,MF,LAFC,25,1999,27.5,4,36,9,25.0,1.31,0.33,0.11,0.44,18.5,0,0,0,4.0,4.0,0.11,0.0,0.0,Matches
739,John Tolkin,us USA,DF,NY Red Bulls,21,2002,26.5,2,15,5,33.3,0.57,0.19,0.13,0.40,24.7,4,0,0,0.7,0.7,0.05,+1.3,+1.3,Matches
740,Nouhou Tolo,cm CMR,DF,Seattle Sounders,26,1997,24.5,0,12,2,16.7,0.49,0.08,0.00,0.00,25.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
741,Ervin Torres,us USA,MF,Austin,16,2007,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
742,Facundo Torres,uy URU,FWMF,Orlando City,23,2000,29.3,14,58,28,48.3,1.98,0.96,0.21,0.43,17.3,0,2,3,8.6,6.3,0.11,+5.4,+5.7,Matches
743,Tomas Totland,no NOR,DF,St. Louis,25,1998,27.6,2,17,7,41.2,0.62,0.25,0.12,0.29,20.2,1,0,0,1.7,1.7,0.10,+0.3,+0.3,Matches
744,Mason Toye,us USA,FWMF,Portland Timbers,25,1998,1.6,0,7,3,42.9,4.26,1.82,0.00,0.00,12.2,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches
745,Mason Toye,us USA,FWMF,CF Montréal,25,1998,5.3,1,7,4,57.1,1.32,0.76,0.14,0.25,22.9,0,0,0,1.1,1.1,0.16,-0.1,-0.1,Matches
746,Wil Trapp,us USA,MF,Minnesota Utd,31,1993,25.5,1,20,3,15.0,0.78,0.12,0.00,0.00,26.2,0,1,1,1.9,1.1,0.05,-0.9,-1.1,Matches
747,Jackson Travis,us USA,DF,Colorado Rapids,19,2004,5.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
748,Niko Tsakiris,us USA,MF,SJ Earthquakes,18,2005,16.3,0,11,1,9.1,0.67,0.06,0.00,0.00,23.0,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
749,Yutaro Tsukada,jp JPN,FW,Orlando City,22,2001,0.2,0,1,0,0.0,4.29,0.00,0.00,,12.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
750,Garrison Tubbs,us USA,DF,D.C. United,21,2002,6.1,0,4,1,25.0,0.65,0.16,0.00,0.00,9.3,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
Rk
751,Bill Tuiloma,nz NZL,DF,Charlotte,28,1995,2.2,0,2,1,50.0,0.90,0.45,0.00,0.00,15.9,1,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
752,Ema Twumasi,gh GHA,DF,FC Dallas,26,1997,13.1,0,2,0,0.0,0.15,0.00,0.00,,15.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
753,Marinos Tzionis,cy CYP,FWMF,Sporting KC,22,2001,3.1,1,3,1,33.3,0.97,0.32,0.33,1.00,15.7,0,0,0,0.4,0.4,0.12,+0.6,+0.6,Matches
754,Mikael Uhre,dk DEN,FW,Philadelphia Union,29,1994,22.3,10,50,25,50.0,2.24,1.12,0.20,0.40,14.3,0,0,0,8.2,8.2,0.16,+1.8,+1.8,Matches
755,Jere Uronen,fi FIN,DF,Charlotte,29,1994,23.7,0,8,3,37.5,0.34,0.13,0.00,0.00,25.0,4,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
756,Júnior Urso,br BRA,MF,Charlotte,34,1989,11.4,1,18,5,27.8,1.58,0.44,0.06,0.20,14.0,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
757,Óscar Ustari,ar ARG,GK,Inter Miami,37,1986,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
758,Leo Väisänen,fi FIN,DF,Austin,26,1997,9.2,0,4,2,50.0,0.43,0.22,0.00,0.00,14.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
759,Jhojan Valencia,co COL,MF,Austin,27,1996,16.0,0,8,1,12.5,0.50,0.06,0.00,0.00,27.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
760,Omar Valencia,pa PAN,MF,NY Red Bulls,19,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
761,Zarek Valentin,pr PUR,DFMF,Minnesota Utd,32,1991,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
762,Gerardo Valenzuela,us USA,MFFW,FC Cincinnati,19,2004,10.7,1,20,4,20.0,1.87,0.37,0.05,0.25,20.3,1,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
763,Jefferson Valverde,ec ECU,DF,Houston Dynamo,24,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
764,Dante Vanzeir,be BEL,FW,NY Red Bulls,25,1998,23.1,4,52,18,34.6,2.25,0.78,0.08,0.22,13.4,1,0,0,8.3,8.3,0.16,-4.3,-4.3,Matches
765,Alenis Vargas,hn HON,FW,Sporting KC,20,2003,7.0,2,11,6,54.5,1.56,0.85,0.18,0.33,14.5,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Matches
766,Kerwin Vargas,co COL,FW,Charlotte,22,2002,27.3,6,62,18,29.0,2.27,0.66,0.10,0.33,18.2,2,0,1,5.3,4.5,0.07,+0.7,+1.5,Matches
767,Obed Vargas,mx MEX,MFFW,Seattle Sounders,18,2005,28.2,1,23,7,30.4,0.82,0.25,0.04,0.14,18.3,0,0,0,2.3,2.3,0.10,-1.3,-1.3,Matches
768,Indiana Vassilev,us USA,MFFW,St. Louis,22,2001,20.4,3,37,7,18.9,1.81,0.34,0.08,0.43,18.6,5,0,0,3.7,3.7,0.10,-0.7,-0.7,Matches
769,Alan Velasco,ar ARG,FWMF,FC Dallas,21,2002,4.1,2,11,4,36.4,2.68,0.97,0.09,0.25,24.3,1,1,1,1.5,0.7,0.06,+0.5,+0.3,Matches
770,Brayan Vera,co COL,DF,Real Salt Lake,25,1999,23.4,2,21,7,33.3,0.90,0.30,0.05,0.14,30.1,8,1,1,1.7,0.9,0.04,+0.3,+0.1,Matches
771,Oscar Verhoeven,us USA,DF,SJ Earthquakes,17,2006,4.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
772,Ranko Veselinović,rs SRB,DF,Vancouver W'caps,24,1999,30.7,2,12,3,25.0,0.39,0.10,0.17,0.67,10.5,0,0,0,1.0,1.0,0.08,+1.0,+1.0,Matches
773,Jules-Anthony Vilsaint,ca CAN,MFFW,CF Montréal,21,2003,9.3,2,27,8,29.6,2.90,0.86,0.07,0.25,15.3,0,0,0,3.5,3.5,0.13,-1.5,-1.5,Matches
774,Sam Vines,us USA,DF,Colorado Rapids,24,1999,24.1,1,13,4,30.8,0.54,0.17,0.08,0.25,19.8,1,0,0,1.8,1.8,0.14,-0.8,-0.8,Matches
775,Pedro Vite,ec ECU,MF,Vancouver W'caps,21,2002,22.4,1,25,8,32.0,1.11,0.36,0.04,0.13,22.4,1,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
Rk
776,Robert Voloder,ba BIH,DF,Sporting KC,22,2001,19.6,0,2,0,0.0,0.10,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
777,Giacomo Vrioni,al ALB,FW,NE Revolution,25,1998,24.8,9,80,31,38.8,3.22,1.25,0.11,0.29,14.5,0,0,0,11.1,11.1,0.14,-2.1,-2.1,Matches
778,Kai Wagner,de GER,DF,Philadelphia Union,26,1997,32.3,1,16,3,18.8,0.50,0.09,0.06,0.33,22.9,2,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches
779,Rémi Walter,fr FRA,MF,Sporting KC,28,1995,14.2,3,7,3,42.9,0.49,0.21,0.43,1.00,24.5,1,0,0,0.5,0.5,0.07,+2.5,+2.5,Matches
780,Victor Wanyama,ke KEN,MF,CF Montréal,32,1991,4.5,0,2,0,0.0,0.44,0.00,0.00,,28.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
781,Taylor Washington,us USA,DF,Nashville SC,30,1993,8.4,0,1,0,0.0,0.12,0.00,0.00,,8.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
782,Joel Waterman,ca CAN,DF,CF Montréal,28,1996,23.6,0,3,2,66.7,0.13,0.08,0.00,0.00,12.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
783,Akil Watts,us USA,DFMF,St. Louis,23,2000,10.7,0,8,1,12.5,0.75,0.09,0.00,0.00,21.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
784,Patrick Weah,lr LBR,FW,Minnesota Utd,20,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
785,Marcelo Weigandt,ar ARG,DFMF,Inter Miami,24,2000,22.2,0,17,4,23.5,0.77,0.18,0.00,0.00,14.9,0,0,0,2.0,2.0,0.12,-2.0,-2.0,Matches
786,Michael Wentzel,de GER,DF,St. Louis,21,2002,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
787,Ashley Westwood,eng ENG,MF,Charlotte,33,1990,33.0,2,8,2,25.0,0.24,0.06,0.25,1.00,22.6,3,0,0,0.7,0.7,0.08,+1.3,+1.3,Matches
788,Brian White,us USA,FW,Vancouver W'caps,27,1996,27.2,15,70,27,38.6,2.57,0.99,0.21,0.56,11.4,0,0,0,12.8,12.8,0.18,+2.2,+2.2,Matches
789,Caleb Wiley,us USA,DF,Atlanta Utd,19,2004,20.9,1,8,4,50.0,0.38,0.19,0.13,0.25,23.3,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
790,Derrick Williams,ie IRL,DF,Atlanta Utd,31,1993,25.1,0,18,5,27.8,0.72,0.20,0.00,0.00,9.0,0,0,0,1.9,1.9,0.10,-1.9,-1.9,Matches
791,Eryk Williamson,us USA,MF,Portland Timbers,26,1997,11.9,2,8,5,62.5,0.67,0.42,0.25,0.40,12.5,1,0,0,1.4,1.4,0.18,+0.6,+0.6,Matches
792,Joe Willis,us USA,GK,Nashville SC,35,1988,29.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
