ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
111,Brooks Lennon,us USA,DF,Atlanta Utd,27,$14231 (€ 12481 £ 10613),$740000 (€ 649016 £ 551881),
112,Dario Župarić,ba BIH,DF,Portland Timbers,32,$14135 (€ 12397 £ 10541),$735000 (€ 644631 £ 548152),
113,Luis Abram,pe PER,DF,Atlanta Utd,28,$14082 (€ 12351 £ 10502),$732275 (€ 642241 £ 546120),
114,Derrick Etienne,ht HAI,FW,Toronto FC,28,$13655 (€ 11976 £ 10184),$710062 (€ 622759 £ 529554),
115,Teenage Hadebe,zw ZIM,DF,FC Cincinnati,29,$13557 (€ 11890 £ 10110),$704952 (€ 618278 £ 525743),
116,Artur,br BRA,MF,Houston Dynamo,28,$13462 (€ 11806 £ 10039),$700000 (€ 613934 £ 522050),
117,Jack Maher,us USA,DF,Nashville SC,25,$13462 (€ 11806 £ 10039),$700000 (€ 613934 £ 522050),
118,Khiry Shelton,us USA,DF,Sporting KC,31,$13462 (€ 11806 £ 10039),$700000 (€ 613934 £ 522050),
119,Paddy McNair,nir NIR,DF,San Diego FC,29,$13462 (€ 11806 £ 10039),$700000 (€ 613934 £ 522050),
120,Julio Cascante,cr CRC,DF,Austin,31,$13462 (€ 11806 £ 10039),$700000 (€ 613934 £ 522050),
121,Tomáš Ostrák,cz CZE,MFDF,St. Louis,24,$13462 (€ 11806 £ 10039),$700000 (€ 613934 £ 522050),
122,Andrew Farrell,us USA,DF,NE Revolution,32,$13149 (€ 11532 £ 9806),$683750 (€ 599682 £ 509931),
123,Matti Peltola, ,DM,D.C. United,22,$13112 (€ 11500 £ 9779),$681818 (€ 597988 £ 508490),
124,Raoul Petretta,it ITA,DF,Toronto FC,27,$12981 (€ 11385 £ 9681),$675000 (€ 592008 £ 503405),
125,César Araujo,uy URU,MF,Orlando City,23,$12981 (€ 11385 £ 9681),$675000 (€ 592008 £ 503405),
126,Michael Boxall,nz NZL,DF,Minnesota Utd,36,$12981 (€ 11385 £ 9681),$675000 (€ 592008 £ 503405),
127,Yohei Takaoka, ,GK,Vancouver W'caps,29,$12923 (€ 11334 £ 9638),$672000 (€ 589377 £ 501168),
128,Gabriel Pirani,br BRA,MFFW,D.C. United,22,$12788 (€ 11216 £ 9537),$665000 (€ 583238 £ 495947),
129,Birk Risa,no NOR,DF,NYCFC,26,$12692 (€ 11132 £ 9466),$660000 (€ 578852 £ 492218),
130,Chris Mueller,us USA,RW,Chicago Fire,28,$12500 (€ 10963 £ 9322),$650004 (€ 570085 £ 484764),
131,Tai Baribo, ,CF,Philadelphia Union,27,$12500 (€ 10963 £ 9322),$650000 (€ 570082 £ 484761),
132,Marcelo Herrera,ar ARG,DF,Columbus Crew,26,$12500 (€ 10963 £ 9322),$650000 (€ 570082 £ 484761),
133,Rodrigues,br BRA,DF,SJ Earthquakes,27,$12500 (€ 10963 £ 9322),$650000 (€ 570082 £ 484761),
134,Yuya Kubo,jp JPN,MFFW,FC Cincinnati,31,$12500 (€ 10963 £ 9322),$650000 (€ 570082 £ 484761),
135,Ryan Hollingshead,us USA,DFMF,LAFC,33,$12404 (€ 10879 £ 9251),$645000 (€ 565697 £ 481032),
136,Corey Baird,us USA,MFFW,FC Cincinnati,29,$12391 (€ 10867 £ 9241),$644319 (€ 565099 £ 480524),
137,Bartosz Slisz, ,DM,Atlanta Utd,26,$12115 (€ 10626 £ 9035),$630000 (€ 552541 £ 469845),
138,Pedro Vite,ec ECU,MFFW,Vancouver W'caps,22,$11942 (€ 10474 £ 8906),$621000 (€ 544648 £ 463133),
139,Sebastien Ibeagha,us USA,DF,FC Dallas,33,$11923 (€ 10457 £ 8892),$620000 (€ 543770 £ 462387),
140,Ranko Veselinović,rs SRB,DF,Vancouver W'caps,25,$11923 (€ 10457 £ 8892),$620000 (€ 543770 £ 462387),
141,Luca Langoni, ,RW,NE Revolution,23,$11731 (€ 10288 £ 8749),$610000 (€ 535000 £ 454929),
142,Joaquín Pereyra,ar ARG,MF,Minnesota Utd,26,$11731 (€ 10288 £ 8749),$610000 (€ 535000 £ 454929),
